product_id,title,price,image_url,url
23,Zipper Up Denim Skirt With Flap Pockets,₹499,https://assets.newme.asia/wp-content/uploads/2025/07/22155643ac71ab1a/NM-IN-56-SKT-24-JAN-283-BLACK_(1).webp,https://newme.asia/product/zipper-up-denim-skirt-with-flap-pockets
24,Beige Ruched One-Shoulder Mini Dress,₹1039,https://assets.newme.asia/wp-content/uploads/2026/05/2209393638926705/NM-PRC-374-DRS-25-NOV-26106-BEIGE(1).webp,https://newme.asia/product/beige-ruched-one-shoulder-mini-dress
25,Brown Abstract Cowl Neck Midi Dress,₹1099,https://assets.newme.asia/wp-content/uploads/2026/04/041154163c1b35a7/NM-PRC-425-DRS-26-APR-32606-BROWN(1).webp,https://newme.asia/product/brown-abstract-cowl-neck-midi-dress
26,Black High-Rise Striped Bootcut Pants,₹899,https://assets.newme.asia/wp-content/uploads/2026/03/25141239914de0e5/NM-PRC-428-TRS-26-MAR-32005-BLACK(1).webp,https://newme.asia/product/black-high-rise-striped-bootcut-pants-4
27,Rust Sweetheart Ruffle Mini Dress,₹1439,https://assets.newme.asia/wp-content/uploads/2026/04/28090302ab5cacbf/NM-PRC-425-DRS-26-FEB-31161-RUST(1).webp,https://newme.asia/product/rust-sweetheart-ruffle-mini-dress
28,Spiderman Inspired Oversized Zipper Hoodie,₹1549,https://assets.newme.asia/wp-content/uploads/2025/11/13121802eeb23ed5/NM-PRC-35-SWT-23-OCT-356-BLACK(1).webp,https://newme.asia/product/spiderman-inspired-casual-zipper-hoodie-2
29,Wine Sequin Mini Corset Dress,₹1599,https://assets.newme.asia/wp-content/uploads/2026/03/031308395ef16c3f/NM-PRC-119-DRS-26-JAN-30572-WINE(1).webp,https://newme.asia/product/wine-sequin-mini-corset-dress
30,Yellow Halter Backless Maxi Dress,₹1399,https://assets.newme.asia/wp-content/uploads/2026/01/05132554cc87520c/NM-PRC-25-DRS-25-DEC-29419-YELLOW(1).webp,https://newme.asia/product/yellow-halter-backless-maxi-dress
31,Light Pink Lace Sheer Cutout Neck Top,₹389,https://assets.newme.asia/wp-content/uploads/2025/12/08120041cdbe0fe1/NM-IN-56-BLS-25-NOV-21951-PINK(1).webp,https://newme.asia/product/light-pink-lace-sheer-cutout-neck-top
32,Black Contrast Printed Half Zipper Top,₹769,https://assets.newme.asia/wp-content/uploads/2024/03/11184021a631b70b/NM-PRC-11-BLS-24-MAR-3649-BLACK_(1).webp,https://newme.asia/product/black-contrast-printed-halfzipper-top
33,Maroon Solid High Neck Tshirt,₹399,https://assets.newme.asia/wp-content/uploads/2025/06/01130919122e751d/NM-IN-50-TSH-23-JUN-132-MAROON_(1).webp,https://newme.asia/product/maroon-solid-high-neck-tshirt
34,Teal Lace Sheer Cutout Neck Top,₹499,https://assets.newme.asia/wp-content/uploads/2025/12/08120044b65604ce/NM-IN-56-BLS-25-NOV-21950-TEAL(1).webp,https://newme.asia/product/teal-lace-sheer-cutout-neck-top
35,Black Solid Lapel Collar Shirt,₹969,https://assets.newme.asia/wp-content/uploads/2026/01/10133944aac7b8fb/NM-PRC-415-BLS-26-JAN-30284-BLACK(1).webp,https://newme.asia/product/black-solid-lapel-collar-shirt
36,Light Blue Fitted Crew Neck T-Shirt,₹549,https://assets.newme.asia/wp-content/uploads/2025/10/061437374bffbb69/NM-PRC-370-TSH-25-OCT-25237-LIGHTBLUE(1).webp,https://newme.asia/product/light-blue-fitted-crew-neck-t-shirt-2
37,Lavender Fitted Crew Neck T-Shirt,₹589,https://assets.newme.asia/wp-content/uploads/2025/10/06143736c350ed2c/NM-PRC-370-TSH-25-OCT-25237-LAVENDER(1).webp,https://newme.asia/product/lavender-fitted-crew-neck-t-shirt
38,Light Green Fitted Crew Neck T-Shirt,₹549,https://assets.newme.asia/wp-content/uploads/2025/10/0614373753dab2bd/NM-PRC-370-TSH-25-OCT-25237-LIGHTGREEN(1).webp,https://newme.asia/product/light-green-fitted-crew-neck-t-shirt-2
39,Light Blue Embroidered Striped Top,₹649,https://assets.newme.asia/wp-content/uploads/2026/03/17160751c81ad130/NM-PRC-391-BLS-26-MAR-31592-LIGHTBLUE(1).webp,https://newme.asia/product/light-blue-embroidered-striped-top
40,White Floral Built-In Strap Crop T-Shirt,₹599,https://assets.newme.asia/wp-content/uploads/2025/08/2807313581f9f88c/NM-IN-56-TSH-25-AUG-21348-WHITE_(1).webp,https://newme.asia/product/white-floral-built-in-strap-crop-t-shirt
41,Light Blue Solid Crew Neck Top,₹679,https://assets.newme.asia/wp-content/uploads/2025/08/1611124084bf6bf6/NM-PRC-343-BLS-25-AUG-23947-LIGHTBLUE(1).webp,https://newme.asia/product/light-blue-solid-crew-neck-top
42,Off White Lace Top With Tie Up Detail,₹539,https://assets.newme.asia/wp-content/uploads/2025/01/15201238aa4ec5d1/NM-IN-56-BLS-25-JAN-12375-OFFWHITE(1).webp,https://newme.asia/product/off-white-lace-top-with-tie-up-detail
43,White Typography Crew Neck T-Shirt,₹389,https://assets.newme.asia/wp-content/uploads/2026/01/03110543465d4167/NM-IN-56-TSH-25-DEC-22243-WHITE(1).webp,https://newme.asia/product/white-typography-crew-neck-t-shirt-4
44,Dark Grey Graphic Acid Wash T-Shirt,₹849,https://assets.newme.asia/wp-content/uploads/2026/03/23152119f19752f5/NM-PRC-35-TSH-26-MAR-31876-DARKGREY(1).webp,https://newme.asia/product/dark-grey-graphic-acid-wash-t-shirt
45,Red Boat Neck Lace Top,₹569,https://assets.newme.asia/wp-content/uploads/2026/02/23080701e84a50a0/NM-IN-56-BLS-25-DEC-22273-PURPLE(0).webp,https://newme.asia/product/purple-lace-semi-sheer-top
46,Black Typography Crew Neck T-Shirt,₹409,https://assets.newme.asia/wp-content/uploads/2026/01/03111614fe4ad585/NM-IN-56-TSH-25-DEC-22287-BLACK(1).webp,https://newme.asia/product/black-typography-crew-neck-t-shirt-7
47,Black Typography Crew Neck T-Shirt,₹589,https://assets.newme.asia/wp-content/uploads/2026/01/0311064851f658ef/NM-IN-56-TSH-25-DEC-22250-BLACK(1).webp,https://newme.asia/product/black-typography-crew-neck-t-shirt-2
48,Light Blue Crew Neck Tshirt,₹729,https://assets.newme.asia/wp-content/uploads/2025/08/24111306d7d0d918/NM-PRC-343-TSH-25-AUG-23949-LIGHTBLUE(1).webp,https://newme.asia/product/light-blue-crew-neck-tshirt
49,Pink Ruched High Neck Top,₹529,https://assets.newme.asia/wp-content/uploads/2026/02/17053013441a74f3/NM-IN-56-BLS-25-DEC-22396-PINK(0).webp,https://newme.asia/product/pink-ruched-high-neck-top
50,White Typography Crew Neck T-Shirt,₹619,https://assets.newme.asia/wp-content/uploads/2026/01/031105340a3dcd9b/NM-IN-56-TSH-25-DEC-22241-WHITE(1).webp,https://newme.asia/product/white-typography-crew-neck-t-shirt-7
51,White Solid Crew Neck Tshirt,₹729,https://assets.newme.asia/wp-content/uploads/2025/08/16111604dd6e0813/NM-PRC-343-TSH-25-AUG-23949-WHITE(1).webp,https://newme.asia/product/white-solid-crew-neck-tshirt-7
52,White Solid Lapel Collar Top,₹599,https://assets.newme.asia/wp-content/uploads/2026/02/1407540330c8f0a0/NM-IN-56-BLS-25-DEC-22361-WHITE(0).webp,https://newme.asia/product/white-solid-lapel-collar-top
53,Black Graphic Printed T-Shirt,₹409,https://assets.newme.asia/wp-content/uploads/2026/01/12081220f3a6fdfa/NM-IN-56-TSH-26-JAN-22431-BLACK(1).webp,https://newme.asia/product/black-graphic-printed-t-shirt
54,Light Pink Solid Crew Neck Tshirt,₹679,https://assets.newme.asia/wp-content/uploads/2025/08/161112342a0f0fc6/NM-PRC-343-TSH-25-AUG-23946-LIGHTPINK(1).webp,https://newme.asia/product/light-pink-solid-crew-neck-tshirt
55,Bustier Corset Top,₹499,https://assets.newme.asia/wp-content/uploads/2025/07/23185449302fea9a/NM-PRC-11-BLS-23-JUN-828-WHITE_(1).webp,https://newme.asia/product/bustier-corset-top-3
56,Black Graphic Print Crew Neck T-Shirt,₹639,https://assets.newme.asia/wp-content/uploads/2026/01/201228335f0bb277/NM-IN-56-TSH-26-JAN-22457-BLACK(1).webp,https://newme.asia/product/black-graphic-print-crew-neck-t-shirt-7
57,Black Floral Buttoned Shirt,₹769,https://assets.newme.asia/wp-content/uploads/2026/03/181413133de41952/NM-PRC-437-SHT-26-MAR-31675-BLACK(1).webp,https://newme.asia/product/black-floral-buttoned-shirt
58,Blue Striped Button Down Shirt,₹1189,https://assets.newme.asia/wp-content/uploads/2025/09/0513553841733467/NM-PRC-144-SHT-25-SEP-24560-BLUE(1).webp,https://newme.asia/product/blue-striped-button-down-shirt-4
59,Black Sequined V-Neck Top,₹899,https://assets.newme.asia/wp-content/uploads/2026/03/28141136393a49bf/NM-PRC-443-BLS-26-MAR-32218-BLACK(1).webp,https://newme.asia/product/black-sequined-v-neck-top-2
60,Dark Grey Graphic Printed T-Shirt,₹849,https://assets.newme.asia/wp-content/uploads/2026/03/23152123ec393c92/NM-PRC-35-TSH-26-MAR-31877-DARKGREY(1).webp,https://newme.asia/product/dark-grey-graphic-printed-t-shirt
61,Light Grey Bootcut Fit Trackpant,₹679,https://assets.newme.asia/wp-content/uploads/2025/07/301340068f619116/NM-PRC-25-TRS-25-MAR-14929-LIGHTGREY(1).webp,https://newme.asia/product/light-grey-bootcut-fit-trackpant
62,Light Grey Solid Relaxed Trackpants,₹999,https://assets.newme.asia/wp-content/uploads/2025/05/18091420c759d692/NM-PRC-176-TRS-25-MAR-15385-LIGHTGREY(1).webp,https://newme.asia/product/light-grey-solid-relaxed-trackpants
63,Beige Regular Sweatpants,₹849,https://assets.newme.asia/wp-content/uploads/2025/07/232042067dada216/NM-IN-56-TRS-25-APR-12506-BEIGE(1).webp,https://newme.asia/product/beige-regular-sweatpants
64,Black Colour-Blocked Mid-Rise Pants,₹1539,https://assets.newme.asia/wp-content/uploads/2026/03/1110541658eb6a64/NM-PRC-427-TRS-26-FEB-31189-BLACK(1).webp,https://newme.asia/product/black-colour-blocked-mid-rise-pants
65,Black Mid Rise Striped Pants,₹999,https://assets.newme.asia/wp-content/uploads/2026/03/181344162e35692d/NM-PRC-345-TRS-26-MAR-31671-BLACK(1).webp,https://newme.asia/product/black-mid-rise-striped-pants
66,Brown Regular Sweatpants,₹899,https://assets.newme.asia/wp-content/uploads/2025/05/18093635ea004d69/NM-IN-56-TRS-25-APR-12506-BROWN(1).webp,https://newme.asia/product/brown-regular-sweatpants
67,Black High-Rise Colour-Blocked Pants,₹1199,https://assets.newme.asia/wp-content/uploads/2026/05/15121535040d923b/NM-PRC-345-TRS-26-MAY-33575-BLACK(1).webp,https://newme.asia/product/black-high-rise-colour-blocked-pants
68,Light Grey Mid Rise Striped Pants,₹899,https://assets.newme.asia/wp-content/uploads/2026/01/141254251c64e49a/NM-IN-56-TRS-25-APR-17284-LIGHTGREY(1).webp,https://newme.asia/product/light-grey-mid-rise-striped-pants
69,Black Solid Relaxed Track Pants,₹1539,https://assets.newme.asia/wp-content/uploads/2025/07/232319070ee61dd4/NM-IN-56-TRS-24-NOV-11604-BLACK(1).webp,https://newme.asia/product/black-solid-relaxed-track-pants-11
70,Khaki Solid Mid Rise Trackpants,₹829,https://assets.newme.asia/wp-content/uploads/2025/08/22070556e7e91725/NM-IN-56-TRS-24-AUG-8481-KHAKI_(1).webp,https://newme.asia/product/khaki-solid-mid-rise-trackpants
71,Light Grey Mid Rise Trackpants,₹1099,https://assets.newme.asia/wp-content/uploads/2025/09/1913253597ec0ed9/NM-PRC-12-TRS-25-SEP-24911-LIGHTGREY(1).webp,https://newme.asia/product/light-grey-mid-rise-trackpants
72,Dark Blue Mid Rise Tie-Up Trackpants,₹949,https://assets.newme.asia/wp-content/uploads/2025/10/11122247aab73786/NM-PRC-313-TRS-25-OCT-25419-DARKBLUE(1).webp,https://newme.asia/product/dark-blue-mid-rise-tie-up-trackpants
73,Mint Green Regular Sweatpants,₹679,https://assets.newme.asia/wp-content/uploads/2025/07/2320423605770c44/NM-IN-56-TRS-25-APR-12506-MINTGREEN(1).webp,https://newme.asia/product/mint-green-regular-sweatpants
74,Brown Striped Drawstring Trousers,₹1099,https://assets.newme.asia/wp-content/uploads/2026/05/22082306b55f116d/NM-PRC-380-TRS-26-MAY-33660-BROWN(1).webp,https://newme.asia/product/brown-striped-drawstring-trousers
75,Red Striped Mid-Rise Pants,₹1099,https://assets.newme.asia/wp-content/uploads/2026/05/22082422c25338ac/NM-PRC-345-TRS-26-MAY-33799-RED(1).webp,https://newme.asia/product/red-striped-mid-rise-pants
76,Grey High Rise Monochrome Leggings,₹999,https://assets.newme.asia/wp-content/uploads/2026/05/2208245607766121/NM-PRC-344-TRS-26-MAY-33843-GREY(1).webp,https://newme.asia/product/grey-high-rise-monochrome-leggings
77,Black High-Rise Geometric Leggings,₹999,https://assets.newme.asia/wp-content/uploads/2026/05/22082416c042e1d5/NM-PRC-438-TRS-26-MAY-33771-BLACK(1).webp,https://newme.asia/product/black-high-rise-geometric-leggings-2
78,Blue Striped Mid-Rise Pants,₹1099,https://assets.newme.asia/wp-content/uploads/2026/05/22082428ff175fcd/NM-PRC-345-TRS-26-MAY-33814-BLUE(1).webp,https://newme.asia/product/blue-striped-mid-rise-pants-7
79,Light Pink Leopard Print High Rise Leggings,₹999,https://assets.newme.asia/wp-content/uploads/2026/05/220822349116ca82/NM-PRC-438-TRS-26-MAY-33625-LIGHTPINK(1).webp,https://newme.asia/product/light-pink-leopard-print-high-rise-leggings
80,Black Striped Mid Rise Trousers,₹1299,https://assets.newme.asia/wp-content/uploads/2026/05/2208250346bf5b08/NM-PRC-427-TRS-26-MAY-33848-BLACK(1).webp,https://newme.asia/product/black-striped-mid-rise-trousers-4
81,Light Yellow Regular Sweatpants,₹549,https://assets.newme.asia/wp-content/uploads/2025/07/23204220cdde36c9/NM-IN-56-TRS-25-APR-12506-LIGHTYELLOW(1).webp,https://newme.asia/product/light-yellow-regular-sweatpants
82,White Loose Fit Drawstring Pants,₹1029,https://assets.newme.asia/wp-content/uploads/2025/08/250927013d6154ab/NM-IN-56-TRS-25-APR-18118-WHITE(1).webp,https://newme.asia/product/white-loose-fit-drawstring-pants-4
83,Black High-Rise Bootcut Pants,₹999,https://assets.newme.asia/wp-content/uploads/2025/12/03125836d93e06ab/NM-PRC-345-TRS-25-DEC-27738-BLACK(1).webp,https://newme.asia/product/black-high-rise-bootcut-pants-11
84,Light Grey Stripes High Rise Trackpants,₹1179,https://assets.newme.asia/wp-content/uploads/2025/05/1809284889898bf6/NM-PRC-83-TRS-25-MAR-15511-LIGHTGREY(1).webp,https://newme.asia/product/light-grey-stripes-high-rise-trackpants
85,Light Grey High Rise Bootcut Trackpants,₹649,https://assets.newme.asia/wp-content/uploads/2025/09/19132202b2cf6cd2/NM-PRC-345-TRS-25-SEP-24894-LIGHTGREY(1).webp,https://newme.asia/product/light-grey-high-rise-bootcut-trackpants
86,Maroon Highrise Trackpants,₹649,https://assets.newme.asia/wp-content/uploads/2025/08/05125730c56a6f1d/NM-IN-56-TRS-25-JUL-21116-MAROON(1).webp,https://newme.asia/product/maroon-highrise-trackpants
87,Beige Stripes High Rise Trackpants,₹869,https://assets.newme.asia/wp-content/uploads/2025/10/24070146d2b563f3/NM-IN-56-TRS-25-APR-17284-BEIGE(1).webp,https://newme.asia/product/beige-stripes-high-rise-trackpants-2
88,Lightgrey Highrise Trackpants,₹649,https://assets.newme.asia/wp-content/uploads/2025/08/0711165962dceb44/NM-IN-56-TRS-25-JUL-21116-LIGHTGREY(1).webp,https://newme.asia/product/lightgrey-highrise-trackpants-2
89,Black Mid Rise Tie-Up Trackpants,₹969,https://assets.newme.asia/wp-content/uploads/2025/11/17063950724e7deb/NM-PRC-313-TRS-25-OCT-25415-BLACK(1).webp,https://newme.asia/product/black-mid-rise-tie-up-trackpants
90,Blue Denim Jumpsuit,₹1399,https://assets.newme.asia/wp-content/uploads/2025/07/22124007fb45b6c6/NM-IN-56-JMP-25-MAY-16594-BLUE_(1).webp,https://newme.asia/product/blue-denim-jumpsuit
91,Red Solid Cut Out Detail Jumpsuit,₹749,https://assets.newme.asia/wp-content/uploads/2025/07/2323140547df451f/NM-IN-56-JMP-24-DEC-12228-RED(1).webp,https://newme.asia/product/red-solid-cut-out-detail-jumpsuit
92,Black Solid Off Shoulder Jumpsuit,₹639,https://assets.newme.asia/wp-content/uploads/2025/05/28121109851c46bf/NM-IN-56-JMP-24-DEC-12230-BLACK(1).webp,https://newme.asia/product/black-solid-off-shoulder-jumpsuit
93,Light Blue Striped Tube Jumpsuit,₹1199,https://assets.newme.asia/wp-content/uploads/2026/02/26143347858298e9/NM-PRC-159-JMP-26-JAN-30538-LIGHTBLUE(1).webp,https://newme.asia/product/light-blue-striped-tube-jumpsuit
94,Off White Abstract Tie-Up Jumpsuit,₹1299,https://assets.newme.asia/wp-content/uploads/2026/03/121359401beb1ba0/NM-PRC-159-JMP-26-FEB-31309-OFFWHITE(1).webp,https://newme.asia/product/off-white-abstract-tie-up-jumpsuit
95,Black Solid Zipper Neck Jumpsuit,₹1349,https://assets.newme.asia/wp-content/uploads/2026/01/031322212895dc00/NM-PRC-344-JMP-26-JAN-29756-BLACK(1).webp,https://newme.asia/product/black-solid-zipper-neck-jumpsuit
96,Black Abstract Tie-Up Jumpsuit,₹1299,https://assets.newme.asia/wp-content/uploads/2026/03/12135942d9b5fcaa/NM-PRC-159-JMP-26-FEB-31308-BLACK(1).webp,https://newme.asia/product/black-abstract-tie-up-jumpsuit
97,Navy Blue Solid Buttoned Jumpsuit,₹1159,https://assets.newme.asia/wp-content/uploads/2026/03/0211142214ee0020/NM-IN-56-JMP-25-NOV-26033-NAVY(0).webp,https://newme.asia/product/navy-blue-solid-buttoned-jumpsuit
98,Light Blue Striped Cut-Out Jumpsuit,₹1499,https://assets.newme.asia/wp-content/uploads/2026/03/1310523404c0d62b/NM-PRC-12-JMP-26-MAR-31555-LIGHTBLUE(1).webp,https://newme.asia/product/light-blue-striped-cut-out-jumpsuit
99,Red Solid Balloon Sleeve Jumpsuit,₹1999,https://assets.newme.asia/wp-content/uploads/2026/04/18090811067980d5/NM-IN-56-JMP-25-DEC-29162-RED(0).webp,https://newme.asia/product/red-solid-balloon-sleeve-jumpsuit
100,Dark Brown Solid Square Neck Jumpsuit,₹1399,https://assets.newme.asia/wp-content/uploads/2026/05/091730548bf29566/NM-PRC-395-JMP-26-APR-33096-DARKBROWN(1).webp,https://newme.asia/product/dark-brown-solid-square-neck-jumpsuit
101,Black Embellished Spaghetti Straps Jumpsuit,₹699,https://assets.newme.asia/wp-content/uploads/2025/09/151018143652f4f2/NM-IN-56-JMP-25-APR-17048-BLACK(1).webp,https://newme.asia/product/black-embellished-spaghetti-straps-jumpsuit-2
102,Off White Solid Buttoned Jumpsuit,₹1479,https://assets.newme.asia/wp-content/uploads/2026/03/02111421c023aa4d/NM-IN-56-JMP-26-JAN-29816-OFFWHITE(0).webp,https://newme.asia/product/off-white-solid-buttoned-jumpsuit
103,Black Solid High Neck Jumpsuit,₹1199,https://assets.newme.asia/wp-content/uploads/2026/03/0610220229e8a153/NM-PRC-194-JMP-26-FEB-30896-BLACK(1).webp,https://newme.asia/product/black-solid-high-neck-jumpsuit-2
104,Black Solid Glitter Jumpsuit,₹1029,https://assets.newme.asia/wp-content/uploads/2026/02/1011370443deda3a/NM-IN-56-JMP-25-NOV-26622-BLACK(0).webp,https://newme.asia/product/black-solid-glitter-jumpsuit
105,Black Solid High Rise Jumpsuit,₹499,https://assets.newme.asia/wp-content/uploads/2026/01/13094002453f3cc9/NM-IN-56-JMP-25-AUG-24343-BLACK(1).webp,https://newme.asia/product/black-solid-high-rise-jumpsuit
106,Black Fitted Cutout Jumpsuit,₹1069,https://assets.newme.asia/wp-content/uploads/2025/08/13075146b3f01a86/NM-PRC-344-JMP-25-AUG-23736-BLACK(1).webp,https://newme.asia/product/black-fitted-cutout-jumpsuit
107,Offshoulder Floral Ruched Jumpsuit,₹1099,https://assets.newme.asia/wp-content/uploads/2025/05/18101620bd559d6f/NM-PRC-27-JMP-25-APR-18108-BLACK(1).webp,https://newme.asia/product/offshoulder-floral-ruched-jumpsuit
108,Pink Fitted Backless Jumpsuit,₹1099,https://assets.newme.asia/wp-content/uploads/2025/08/30133603d25760bd/NM-PRC-150-JMP-25-AUG-24371-PINK(1).webp,https://newme.asia/product/pink-fitted-backless-jumpsuit
109,Leopard Print Sweetheart Neck Jumpsuit,₹1179,https://assets.newme.asia/wp-content/uploads/2026/05/0809553436467343/NM-IN-56-JMP-25-NOV-22088-BROWN(0).webp,https://newme.asia/product/leopard-print-sweetheart-neck-jumpsuit-2
110,Black Fitted Sports Jumpsuit,₹1449,https://assets.newme.asia/wp-content/uploads/2025/11/151352519cda54c1/NM-PRC-344-JMP-25-NOV-26770-BLACK(1).webp,https://newme.asia/product/black-fitted-sports-jumpsuit
111,White Leaf Print Jumpsuit,₹1499,https://assets.newme.asia/wp-content/uploads/2026/05/1519360572be130a/NM-PRC-395-JMP-26-APR-33006-WHITE(1).webp,https://newme.asia/product/white-leaf-print-jumpsuit
112,Light Yellow Embroidered Jumpsuit,₹1489,https://assets.newme.asia/wp-content/uploads/2026/01/0313222629d71a08/NM-PRC-313-JMP-26-JAN-29757-LIGHTYELLOW(1).webp,https://newme.asia/product/light-yellow-embroidered-jumpsuit
113,Green Solid Plunge Neck Jumpsuit,₹1269,https://assets.newme.asia/wp-content/uploads/2026/05/060609113cd511e4/NM-IN-56-JMP-26-APR-22673-GREEN(0).webp,https://newme.asia/product/green-solid-plunge-neck-jumpsuit
114,Rust Floral Plunge Neck Jumpsuit,₹1269,https://assets.newme.asia/wp-content/uploads/2026/05/0606090976402b0d/NM-IN-56-JMP-26-APR-22673-RUST(0).webp,https://newme.asia/product/rust-floral-plunge-neck-jumpsuit
115,White Fitted Sports Jumpsuit,₹1299,https://assets.newme.asia/wp-content/uploads/2025/11/1513525047a6d27a/NM-PRC-344-JMP-25-NOV-26770-WHITE(1).webp,https://newme.asia/product/white-fitted-sports-jumpsuit
116,Black Fitted Backless Jumpsuit,₹1089,https://assets.newme.asia/wp-content/uploads/2025/09/05135421d880d842/NM-PRC-344-JMP-25-AUG-24346-BLACK(1).webp,https://newme.asia/product/black-fitted-backless-jumpsuit
117,Light Yellow Smocked Tube Jumpsuit,₹1729,https://assets.newme.asia/wp-content/uploads/2025/12/2917335411e6a381/NM-PRC-12-JMP-25-DEC-29187-LIGHTYELLOW(1).webp,https://newme.asia/product/light-yellow-smocked-tube-jumpsuit
