prompt,occasion,formality,constraint,color_tone,occasion_encoded,formality_encoded,constraint_encoded,color_tone_encoded
job interview outfit that says I'm creative but I can also be professional,office,formal,bold,neutral,2,1,0,2
"going to see a Taylor Swift tribute band, not cringe but still fun",party,casual,no_constraint,soft,3,0,2,3
"date to a museum, sophisticated casual, a bit preppy but not stuffy",date,semi-formal,understated,neutral,1,2,3,2
something that reads office appropriate but also going out straight after works,office,semi-formal,no_constraint,dark,2,2,2,1
"Italian summer vacation outfits, classy and European not tourist-y",casual,casual,understated,bright,0,0,3,0
"autumn wedding guest, jewel tones and drama but not over the top",wedding,formal,bold,dark,4,1,0,1
"going to a house party, not trying too hard but definitely didn't just roll out of bed",party,casual,no_constraint,neutral,3,0,2,2
biker-meets-feminine aesthetic everyday outfit,casual,casual,bold,dark,0,0,0,1
"date at an escape room, cute but can crouch, run, and problem solve",date,casual,no_constraint,neutral,1,0,2,2
"summer office looks, no linen because I always look wrinkled",office,formal,understated,soft,2,1,3,3
"something to wear to my cousin's Italian wedding, dress code is elegant casual",wedding,semi-formal,understated,bright,4,2,3,0
ultra feminine spring looks that aren't just pink and floral,casual,casual,no_constraint,soft,0,0,2,3
"what to wear for a Pilates class then brunch, seamless transition outfit",casual,casual,understated,soft,0,0,3,3
something sexy for a speed dating event but not trying too hard,date,semi-formal,bold,dark,1,2,0,1
smart look for a client lunch that also goes with a coffee in the morning,office,semi-formal,understated,neutral,2,2,3,2
"Ibiza holiday looks, colourful and fun, not basic influencer aesthetic",party,casual,bold,bright,3,0,0,0
"minimalist work capsule wardrobe, five pieces, loads of outfits",office,formal,understated,neutral,2,1,3,2
something to wear to a baby shower that isn't too formal but also not jeans,party,semi-formal,understated,soft,3,2,3,3
"date night pub quiz look, casual and fun but still obviously made an effort",date,casual,no_constraint,neutral,1,0,2,2
"something to wear to a black and white themed party, not just a tux",party,semi-formal,bold,dark,3,2,0,1
autumn casual looks that actually use autumn colours not just beige,casual,casual,no_constraint,dark,0,0,2,1
what to wear to a destination beach wedding as a guest,wedding,semi-formal,no_constraint,bright,4,2,2,0
"power suit moment but make it wearable for my body type, I hate boxy fits",office,formal,bold,dark,2,1,0,1
winter date outfit that's still cute even with a massive coat over it,date,semi-formal,understated,dark,1,2,3,1
"something to wear to a pop up market on a weekend, effortless and artistic",casual,casual,no_constraint,bright,0,0,2,0
what to wear to a concert that starts at 7pm so part office part gig,party,semi-formal,no_constraint,neutral,3,2,2,2
"girls trip to Amsterdam looks, walkable cute, club ready by night",casual,casual,bold,bright,0,0,0,0
"soft feminine date look, meeting his friends for the first time",date,casual,understated,soft,1,0,3,3
"sustainable fashion going out look, thrifted energy but actually stylish",party,casual,no_constraint,neutral,3,0,2,2
"something to wear to a rooftop party in summer, breezy but still a look",party,casual,bold,bright,3,0,0,0
black tie party look that's actually wearable and not just a costume,party,formal,understated,soft,3,1,3,3
"elevated going out dress for a fancy birthday dinner party, old money vibes",party,formal,understated,bright,3,1,3,0
red carpet energy for a formal party but make it Gen Z not Hollywood,party,formal,bold,soft,3,1,0,3
statement gown for a black tie party that's daring but still tasteful,party,formal,bold,bright,3,1,0,0
"dramatic formal party look, full glam, no playing it safe tonight",party,formal,bold,dark,3,1,0,1
bold suit moment for a formal party where everyone else will be in dresses,party,formal,bold,neutral,3,1,0,2
formal party look where I want to stand out but not look try-hard,party,formal,no_constraint,soft,3,1,2,3
something for a fancy work awards night that's festive and formal,party,formal,no_constraint,bright,3,1,2,0
formal evening party look that feels like me not like a dress-up doll,party,formal,no_constraint,dark,3,1,2,1
"cocktail party look, I want to look expensive without spending a lot",party,formal,no_constraint,neutral,3,1,2,2
"going to a semi-formal rooftop party, upscale but not black tie",party,semi-formal,understated,soft,3,2,3,3
"birthday dinner at a nice restaurant, semi-formal but still fun energy",party,semi-formal,understated,bright,3,2,3,0
semi-formal house party where the host always overdresses everyone else,party,semi-formal,understated,dark,3,2,3,1
elevated but not stiff look for a cocktail hour before a wedding after-party,party,semi-formal,understated,neutral,3,2,3,2
"semi-formal masquerade party look, dramatic but wearable",party,semi-formal,bold,soft,3,2,0,3
"going out dress for a semi-formal birthday party, fun and attention-grabbing",party,semi-formal,bold,bright,3,2,0,0
"semi-formal Halloween party, scary but make it chic",party,semi-formal,bold,dark,3,2,0,1
bold co-ord set for a fancy friend group dinner that counts as a party,party,semi-formal,bold,neutral,3,2,0,2
something for an art gallery party that's semi-formal and actually interesting,party,semi-formal,no_constraint,soft,3,2,2,3
"going to a charity auction party, not too serious but smart enough",party,semi-formal,no_constraint,bright,3,2,2,0
"semi-formal leaving drinks look, memorable but not over the top",party,semi-formal,no_constraint,dark,3,2,2,1
something for a friend's engagement party that's celebratory but understated,party,semi-formal,no_constraint,neutral,3,2,2,2
rave-ready casual look that's still a whole outfit not just underwear,party,casual,understated,soft,3,0,3,3
"low-key birthday house party look, cute but like I didn't overthink it",party,casual,understated,bright,3,0,3,0
"casual going out look for a warehouse party, comfy shoes mandatory",party,casual,understated,dark,3,0,3,1
"something casual for a daytime garden party, not a dress not just jeans",party,casual,understated,neutral,3,0,3,2
festival outfit that's bold and colourful but actually practical to wear all day,party,casual,bold,soft,3,0,0,3
something to wear to a themed party that's committed but not embarrassing,party,casual,bold,bright,3,0,0,0
casual but attention-grabbing look for a friend's birthday pub crawl,party,casual,bold,dark,3,0,0,1
"going out look for a dive bar birthday, casual but clearly made an effort",party,casual,bold,neutral,3,0,0,2
hen party casual look that's fun without a sash or anything cringey,party,casual,no_constraint,soft,3,0,2,3
what to wear to an outdoor day party when it might rain but you still want to look good,party,casual,no_constraint,bright,3,0,2,0
"casual house party look, arrived looking cute not like I came from the gym",party,casual,no_constraint,dark,3,0,2,1
something for a low-key birthday picnic party that's still Instagram-worthy,party,casual,no_constraint,neutral,3,0,2,2
formal wedding guest look that's polished but still has personality,wedding,formal,understated,soft,4,1,3,3
"formal afternoon wedding, something in a warm tone that photographs beautifully",wedding,formal,understated,bright,4,1,3,0
"black tie optional wedding, I want to dress up but not be the only one in a gown",wedding,formal,understated,dark,4,1,3,1
"winter formal wedding, need something warm but still wedding-level dressy",wedding,formal,understated,neutral,4,1,3,2
"bold formal wedding guest look, I want to be remembered but not for wrong reasons",wedding,formal,bold,soft,4,1,0,3
"wearing a maximalist formal gown to a wedding, lots of texture and detail",wedding,formal,bold,bright,4,1,0,0
"dramatic dark formal look for a winter wedding, jewel tones and structure",wedding,formal,bold,dark,4,1,0,1
statement trouser suit for a formal wedding as a guest who hates dresses,wedding,formal,bold,neutral,4,1,0,2
formal evening wedding look that feels effortless not stiff,wedding,formal,no_constraint,soft,4,1,2,3
what to wear to a formal Indian wedding as a non-Indian guest,wedding,formal,no_constraint,bright,4,1,2,0
"formal wedding in a church, need something that covers shoulders but still looks good",wedding,formal,no_constraint,dark,4,1,2,1
"formal winter wedding guest look, monochrome but not boring",wedding,formal,no_constraint,neutral,4,1,2,2
"semi-formal wedding on a farm, chic but heels would sink into the grass",wedding,semi-formal,understated,soft,4,2,3,3
"semi-formal destination wedding abroad, lightweight and pretty",wedding,semi-formal,understated,bright,4,2,3,0
"semi-formal autumn wedding, something in deep tones that isn't too dark",wedding,semi-formal,understated,dark,4,2,3,1
"semi-formal city wedding, sleek and modern not fussy or ruffly",wedding,semi-formal,understated,neutral,4,2,3,2
semi-formal wedding guest look that's a bit fashion-forward but still appropriate,wedding,semi-formal,bold,soft,4,2,0,3
"colourful semi-formal wedding look, I want to be bold but not upstage the bride",wedding,semi-formal,bold,bright,4,2,0,0
"semi-formal gothic wedding aesthetic as a guest, dark but celebratory",wedding,semi-formal,bold,dark,4,2,0,1
bold print dress for a semi-formal outdoor summer wedding,wedding,semi-formal,bold,neutral,4,2,0,2
"semi-formal boho wedding look, floaty and free but still put together",wedding,semi-formal,no_constraint,soft,4,2,2,3
"what to wear to a semi-formal rooftop wedding, breezy but elevated",wedding,semi-formal,no_constraint,bright,4,2,2,0
"semi-formal wedding where everyone will be overdressed, still want to fit in",wedding,semi-formal,no_constraint,dark,4,2,2,1
something for a semi-formal elopement celebration that's joyful and relaxed,wedding,semi-formal,no_constraint,neutral,4,2,2,2
"casual beach wedding guest look, barefoot optional but still pretty",wedding,casual,understated,soft,4,0,3,3
"casual outdoor picnic wedding, something that works on grass and in photos",wedding,casual,understated,bright,4,0,3,0
"casual wedding celebration in a pub garden, not a dress code but still want to look nice",wedding,casual,understated,dark,4,0,3,1
"relaxed casual wedding in someone's backyard, sundress energy but thoughtful",wedding,casual,understated,neutral,4,0,3,2
"bold casual wedding guest look, I don't want to blend into the background",wedding,casual,bold,soft,4,0,0,3
"bright and bold casual wedding look, it's a colourful celebration",wedding,casual,bold,bright,4,0,0,0
"edgy casual wedding guest fit, the couple has alternative style so I can too",wedding,casual,bold,dark,4,0,0,1
"casual wedding with a bold co-ord set, not a dress but still festive",wedding,casual,bold,neutral,4,0,0,2
casual wedding look that's relaxed but still says I respect the occasion,wedding,casual,no_constraint,soft,4,0,2,3
"something for a casual afternoon wedding in summer, nothing too structured",wedding,casual,no_constraint,bright,4,0,2,0
"laid-back wedding in a brewery, casual but still a step above normal clothes",wedding,casual,no_constraint,dark,4,0,2,1
"relaxed wedding dress code says wear what you want, panicking slightly",wedding,casual,no_constraint,neutral,4,0,2,2
formal office look that commands respect in a boardroom full of older men,office,formal,understated,soft,2,1,3,3
classic formal workwear in soft tones that never goes out of style,office,formal,understated,soft,2,1,3,3
"office formal look inspired by old money, nothing trendy just quality",office,formal,understated,bright,2,1,3,0
"bright formal office look, I want colour in my workwear not just navy and grey",office,formal,understated,bright,2,1,3,0
"dark formal office looks for winter, sleek and serious without being gloomy",office,formal,understated,dark,2,1,3,1
"all-dark formal workwear capsule, I only wear dark colours to the office",office,formal,understated,dark,2,1,3,1
neutral formal office wardrobe that mixes and matches easily,office,formal,understated,neutral,2,1,3,2
"understated formal office look, no logos, no trends, just great tailoring",office,formal,understated,neutral,2,1,3,2
"bold formal workwear, I want to wear colour and not apologise for it",office,formal,bold,soft,2,1,0,3
"power dressing in soft tones, feminine but clearly in charge",office,formal,bold,bright,2,1,0,0
"making a statement in the office with a bold formal look, not costume just confidence",office,formal,bold,dark,2,1,0,1
"corporate girl bold look, formal but clearly has opinions about fashion",office,formal,bold,neutral,2,1,0,2
"formal office look that has no rules, just needs to look professional",office,formal,no_constraint,soft,2,1,2,3
something for a formal work event that isn't stuffy or boring,office,formal,no_constraint,bright,2,1,2,0
"formal office look with a fashion edge, I work in a creative industry",office,formal,no_constraint,dark,2,1,2,1
formal workwear that doesn't erase my personality,office,formal,no_constraint,neutral,2,1,2,2
semi-formal office look for a Friday that still looks intentional,office,semi-formal,understated,soft,2,2,3,3
"business casual in pastel tones, still professional but less rigid",office,semi-formal,understated,bright,2,2,3,0
semi-formal dark work outfit that's polished but not uptight,office,semi-formal,understated,dark,2,2,3,1
"smart casual office look, the dress code is vague and I'm stressed",office,semi-formal,understated,neutral,2,2,3,2
bold semi-formal work look that breaks the beige office aesthetic,office,semi-formal,bold,soft,2,2,0,3
semi-formal office outfit with a pop of colour that still looks intentional,office,semi-formal,bold,bright,2,2,0,0
semi-formal dark office look with interesting texture or detail,office,semi-formal,bold,dark,2,2,0,1
"making a statement in business casual, bold accessories and a strong outfit",office,semi-formal,bold,neutral,2,2,0,2
semi-formal office look I can wear to an external meeting and feel confident,office,semi-formal,no_constraint,soft,2,2,2,3
"business casual summer look, light enough for the heat professional enough for meetings",office,semi-formal,no_constraint,bright,2,2,2,0
"semi-formal winter work outfit, layered and interesting not just a jumper",office,semi-formal,no_constraint,dark,2,2,2,1
smart casual office look that works for video calls and in-person days,office,semi-formal,no_constraint,neutral,2,2,2,2
casual work from home outfit that still makes me feel like a professional,office,casual,understated,soft,2,0,3,3
casual Friday office look that's still polished not just jeans and a tee,office,casual,understated,bright,2,0,3,0
casual work outfit in dark tones that's comfortable but still looks intentional,office,casual,understated,dark,2,0,3,1
"relaxed work day outfit, neutral and easy but clearly not lazy",office,casual,understated,neutral,2,0,3,2
"bold casual workwear, I want to wear something fun even on a low-key day",office,casual,bold,soft,2,0,0,3
"casual office day but make it fashion, bright colours and interesting shapes",office,casual,bold,bright,2,0,0,0
"casual dark office look with an edge, not corporate but still appropriate",office,casual,bold,dark,2,0,0,1
"casual Friday bold look, I'm dressing for myself not the dress code",office,casual,bold,neutral,2,0,0,2
"casual work outfit where literally anything goes, startup culture dress code",office,casual,no_constraint,soft,2,0,2,3
"no dress code office outfit, how do I look professional without rules",office,casual,no_constraint,bright,2,0,2,0
"casual work day, dark colours, comfortable, still looks like I tried",office,casual,no_constraint,dark,2,0,2,1
"relaxed office day look with no constraints, comfortable and cute",office,casual,no_constraint,neutral,2,0,2,2
"everyday casual look in soft tones, something I'd actually reach for daily",casual,formal,understated,soft,0,1,3,3
"formal casual contradiction, elevated everyday clothes in muted tones",casual,formal,understated,bright,0,1,3,0
dark toned formal-ish everyday look for someone who dresses up even on days off,casual,formal,understated,dark,0,1,3,1
neutral toned casual look that feels intentional and put together,casual,formal,understated,neutral,0,1,3,2
"bold everyday look in soft colours, feminine and confident",casual,formal,bold,soft,0,1,0,3
bright bold casual outfit for a girl who makes every errand a fashion moment,casual,formal,bold,bright,0,1,0,0
"edgy everyday look in dark tones, I dress up even when I'm just going to the shops",casual,formal,bold,dark,0,1,0,1
"bold neutral casual look, statement pieces but in a quiet palette",casual,formal,bold,neutral,0,1,0,2
"elevated casual look with no rules, just want to look good running errands",casual,formal,no_constraint,soft,0,1,2,3
"bright and free casual look for a day off, no agenda just vibes",casual,formal,no_constraint,bright,0,1,2,0
"dark casual look with an editorial feel, I want to look like a photo even on a normal day",casual,formal,no_constraint,dark,0,1,2,1
"effortless casual look in neutrals, the kind of outfit that photographs well spontaneously",casual,formal,no_constraint,neutral,0,1,2,2
soft and cosy semi-formal casual look for a lunch with friends at a nice cafe,casual,semi-formal,understated,soft,0,2,3,3
bright semi-formal casual look for a daytime event that isn't quite a party,casual,semi-formal,understated,bright,0,2,3,0
"semi-formal dark casual outfit, dressed up but not going anywhere fancy",casual,semi-formal,understated,dark,0,2,3,1
"neutral semi-formal everyday look, looks like an outfit not just clothes",casual,semi-formal,understated,neutral,0,2,3,2
"bold soft tones for an elevated casual day out, I overdress for everything",casual,semi-formal,bold,soft,0,2,0,3
"bright bold semi-formal casual look, I dress like I'm always going somewhere",casual,semi-formal,bold,bright,0,2,0,0
dark bold semi-formal casual outfit for someone with maximalist tendencies,casual,semi-formal,bold,dark,0,2,0,1
"bold neutral semi-formal casual look, understated drama",casual,semi-formal,bold,neutral,0,2,0,2
"semi-formal casual look with no dress code, just want to look elevated",casual,semi-formal,no_constraint,soft,0,2,2,3
bright and breezy semi-formal casual look for an afternoon out,casual,semi-formal,no_constraint,bright,0,2,2,0
"dark and interesting semi-formal casual look, not going out just living my life",casual,semi-formal,no_constraint,dark,0,2,2,1
effortless semi-formal casual outfit in neutral tones that looks expensive,casual,semi-formal,no_constraint,neutral,0,2,2,2
soft toned truly casual outfit that's comfortable but not sloppy,casual,casual,understated,soft,0,0,3,3
"casual bright look for a fun day with friends, effortless and colourful",casual,casual,understated,bright,0,0,3,0
"dark casual everyday look that's cool without trying, my usual vibe",casual,casual,understated,dark,0,0,3,1
truly casual neutral outfit that still has a point of view,casual,casual,understated,neutral,0,0,3,2
"bold and soft casual look, feminine and playful for a day off",casual,casual,bold,soft,0,0,0,3
bold bright casual outfit for when I want to be noticed even at the supermarket,casual,casual,bold,bright,0,0,0,0
"dark bold casual look, my everyday style is kind of intense and I love it",casual,casual,bold,dark,0,0,0,1
"bold neutral casual outfit, I wear interesting pieces even casually",casual,casual,bold,neutral,0,0,0,2
"casual no rules soft look, comfortable and feminine and that's it",casual,casual,no_constraint,soft,0,0,2,3
"casual bright look with no agenda, just happy colours and comfy clothes",casual,casual,no_constraint,bright,0,0,2,0
"dark casual look, no rules, just vibes, I wear what I want",casual,casual,no_constraint,dark,0,0,2,1
"relaxed neutral casual look, clean and simple but still considered",casual,casual,no_constraint,neutral,0,0,2,2
"formal first date look in soft tones, romantic and elegant without overdressing",date,formal,understated,soft,1,1,3,3
"formal date look in warm bright tones, I want to glow not disappear",date,formal,understated,bright,1,1,3,0
"formal dark date look, moody and mysterious for a fancy dinner",date,formal,understated,dark,1,1,3,1
"formal neutral date look, classic and timeless, nothing too trendy",date,formal,understated,neutral,1,1,3,2
"bold soft toned formal date look, I want to feel feminine and powerful",date,formal,bold,soft,1,1,0,3
"bright bold formal date look, I'm going to a fancy dinner and want to turn heads",date,formal,bold,bright,1,1,0,0
"dark bold formal date look, drama and confidence for a high-stakes evening",date,formal,bold,dark,1,1,0,1
"bold neutral formal date look, strong tailoring and serious style energy",date,formal,bold,neutral,1,1,0,2
"formal date with no rules, something that feels right not just appropriate",date,formal,no_constraint,soft,1,1,2,3
formal date look that's vibrant and joyful not stiff or stuffy,date,formal,no_constraint,bright,1,1,2,0
"formal dark date look with an unexpected twist, not just a little black dress",date,formal,no_constraint,dark,1,1,2,1
formal date look in neutrals that feels personal and not generic,date,formal,no_constraint,neutral,1,1,2,2
"semi-formal date look in soft colours, pretty and approachable",date,semi-formal,understated,soft,1,2,3,3
"bright semi-formal date look, summery and flirty for an outdoor dinner",date,semi-formal,understated,bright,1,2,3,0
"semi-formal dark date outfit, going somewhere nice but not black tie",date,semi-formal,understated,dark,1,2,3,1
"semi-formal neutral date look, chic and effortless for a nice restaurant",date,semi-formal,understated,neutral,1,2,3,2
"bold soft semi-formal date look, I want to look romantic and intentional",date,semi-formal,bold,soft,1,2,0,3
"bright bold semi-formal date look, I dress for myself not just for the occasion",date,semi-formal,bold,bright,1,2,0,0
"dark bold semi-formal date look, a bit dramatic for a Thursday night but worth it",date,semi-formal,bold,dark,1,2,0,1
"bold neutral semi-formal date look, statement outfit for a memorable evening",date,semi-formal,bold,neutral,1,2,0,2
"semi-formal date look with no constraints, something I feel amazing in",date,semi-formal,no_constraint,soft,1,2,2,3
"semi-formal date look that's vibrant and free, second date energy",date,semi-formal,no_constraint,bright,1,2,2,0
"semi-formal dark date look, I want intrigue and elegance without full formality",date,semi-formal,no_constraint,dark,1,2,2,1
semi-formal neutral date look that still feels like a special occasion,date,semi-formal,no_constraint,neutral,1,2,2,2
"casual soft date look, sweet and feminine for a relaxed afternoon date",date,casual,understated,soft,1,0,3,3
"casual bright date look, sunny and happy for a daytime date in the park",date,casual,understated,bright,1,0,3,0
"casual dark date look, cool and low-key for a record shop browse then coffee",date,casual,understated,dark,1,0,3,1
"casual neutral date look, effortless and genuine, not trying to be someone I'm not",date,casual,understated,neutral,1,0,3,2
"bold soft casual date look, pretty and playful for a chill first date",date,casual,bold,soft,1,0,0,3
"bold bright casual date look, I want to be memorable on a daytime date",date,casual,bold,bright,1,0,0,0
"bold dark casual date look, edgy and interesting for a guy who likes that",date,casual,bold,dark,1,0,0,1
"bold neutral casual date look, confident and cool without needing colour",date,casual,bold,neutral,1,0,0,2
"casual date look in soft tones with no rules, just want to feel like myself",date,casual,no_constraint,soft,1,0,2,3
"casual bright date look, colourful and fun for someone I actually like",date,casual,no_constraint,bright,1,0,2,0
"casual dark date look with no agenda, effortlessly cool without trying",date,casual,no_constraint,dark,1,0,2,1
"relaxed neutral casual date look, the kind of outfit that looks accidental but isn't",date,casual,no_constraint,neutral,1,0,2,2
"something for a formal house party where everyone dresses up, theatrical and fun",party,formal,understated,soft,3,1,3,3
"glamorous formal party look, I want to feel like a movie character not just a guest",party,formal,bold,bright,3,1,0,0
formal NYE look that's timeless and won't look dated in photos years later,party,formal,no_constraint,dark,3,1,2,1
"high fashion formal party look, something editorial and unexpected",party,formal,understated,neutral,3,1,3,2
"formal wedding guest look that's architectural and structured, not just a pretty dress",wedding,formal,bold,soft,4,1,0,3
"formal wedding in a castle, I want to match the venue energy",wedding,formal,no_constraint,bright,4,1,2,0
black tie wedding look that's feminine and dreamy not just a standard gown,wedding,formal,understated,dark,4,1,3,1
"formal outdoor evening wedding, need something that looks good in candlelight",wedding,formal,bold,neutral,4,1,0,2
elevated casual day off look that feels formal even without an occasion,casual,formal,understated,soft,0,1,3,3
"casual formal contradiction, I dress formally even when I'm doing nothing",casual,formal,bold,bright,0,1,0,0
formal-feeling everyday look for a girl who never underdresses,casual,formal,no_constraint,dark,0,1,2,1
"truly elevated casual look in neutrals, quiet luxury but for a day at home",casual,formal,understated,neutral,0,1,3,2
"formal first date energy, I want to look like I take this seriously",date,formal,bold,soft,1,1,0,3
elevated formal date look that feels personal and not like a uniform,date,formal,no_constraint,bright,1,1,2,0
formal date look for someone who wants to feel powerful and attractive simultaneously,date,formal,understated,dark,1,1,3,1
"formal evening date look with a sense of humour, not stiff just elevated",date,formal,bold,neutral,1,1,0,2
party look for a winter ball that's glamorous but won't freeze me to death,party,formal,understated,soft,3,1,3,3
upscale holiday party dress that doesn't scream office christmas party,party,formal,understated,bright,3,1,3,0
something sleek and formal for a college formal that isn't a prom dress,party,formal,understated,dark,3,1,3,1
classic formal party look for a gala that I can rewear to other events,party,formal,understated,neutral,3,1,3,2
feminine power look for a fancy networking party where I want to be remembered,party,formal,bold,soft,3,1,0,3
metallic formal party dress that's actually wearable not just shiny,party,formal,bold,bright,3,1,0,0
"dark dramatic formal party look, full fantasy no apologies",party,formal,bold,dark,3,1,0,1
"strong structured formal party look in neutral tones, zero fuss maximum impact",party,formal,bold,neutral,3,1,0,2
formal party look that feels like art not just getting dressed up,party,formal,no_constraint,soft,3,1,2,3
something for a formal launch party that looks like I belong there,party,formal,no_constraint,bright,3,1,2,0
"formal dinner party guest look, intimate setting so every detail matters",party,formal,no_constraint,dark,3,1,2,1
"formal party at a museum, I want to match the energy of the space",party,formal,no_constraint,neutral,3,1,2,2
"semi-formal graduation party look, celebrating but make it fashion",party,semi-formal,understated,soft,3,2,3,3
