prompt,occasion,formality,constraint,color_tone
"beach to bar outfit for a summer holiday, minimal effort maximum looks",casual,casual,no_constraint,bright
"date afternoon at a farmer's market, relaxed and feminine, no trying too hard",date,casual,understated,soft
"party look that works in both freezing cold outside and sweaty hot club inside",party,casual,no_constraint,dark
"wedding guest dress code says smart casual, what does that even mean help",wedding,semi-formal,understated,neutral
"street style fall look, layered and intentional, not messy layering",casual,casual,bold,neutral
"office look that doesn't make me feel like I'm wearing a costume",office,formal,no_constraint,neutral
"something to wear to a Halloween party that isn't a lazy costume",party,casual,bold,dark
"dinner date outfit, he's taking me somewhere nice but I don't know where",date,semi-formal,no_constraint,neutral
"winter wedding guest look that's warm but still dressy enough",wedding,formal,understated,dark
"what do I wear to a Beyoncé concert that's a full fit not just a tee",party,casual,bold,bright
"hyper-feminine date night look, very Sofia Richie but younger and more fun",date,semi-formal,understated,soft
"transitional office looks for when it's between seasons and nothing works",office,formal,formal,neutral
"something to wear to a Korean BBQ date that won't smell like smoke but also cute",date,casual,no_constraint,bright
"Christmas party work outfit that's festive but professional not tacky",office,semi-formal,no_constraint,bright
"going to a brunch hen party, pastels and fun but still grown up",party,casual,no_constraint,soft
"cute travel outfit for a long haul flight that still looks put together on arrival",casual,casual,understated,neutral
"something edgy to wear to a punk-inspired exhibition",casual,casual,bold,dark
"spring date walk in the park, light and breezy, no mini skirt it's cold",date,casual,understated,soft
"outdoor summer wedding dress code tropical smart, what does that mean",wedding,semi-formal,bold,bright
"what to wear to a work conference when you want to be remembered",office,formal,bold,neutral
"night out in London, effortlessly cool, not trendy in an obvious way",party,semi-formal,understated,dark
"cute at-home loungewear that looks intentional not lazy",casual,casual,understated,soft
"something to wear to watch the rugby with his friends, casual but still pretty",casual,casual,no_constraint,neutral
"job interview outfit that says I'm creative but I can also be professional",office,formal,bold,neutral
"going to see a Taylor Swift tribute band, not cringe but still fun",party,casual,no_constraint,soft
"date to a museum, sophisticated casual, a bit preppy but not stuffy",date,semi-formal,understated,neutral
"something that reads office appropriate but also going out straight after works",office,semi-formal,no_constraint,dark
"Italian summer vacation outfits, classy and European not tourist-y",casual,casual,understated,bright
"autumn wedding guest, jewel tones and drama but not over the top",wedding,formal,bold,dark
"going to a house party, not trying too hard but definitely didn't just roll out of bed",party,casual,no_constraint,neutral
"biker-meets-feminine aesthetic everyday outfit",casual,casual,bold,dark
"date at an escape room, cute but can crouch, run, and problem solve",date,casual,no_constraint,neutral
"summer office looks, no linen because I always look wrinkled",office,formal,understated,soft
"something to wear to my cousin's Italian wedding, dress code is elegant casual",wedding,semi-formal,understated,bright
"ultra feminine spring looks that aren't just pink and floral",casual,casual,no_constraint,soft
"what to wear for a Pilates class then brunch, seamless transition outfit",casual,casual,understated,soft
"something sexy for a speed dating event but not trying too hard",date,semi-formal,bold,dark
"smart look for a client lunch that also goes with a coffee in the morning",office,semi-formal,understated,neutral
"Ibiza holiday looks, colourful and fun, not basic influencer aesthetic",party,casual,bold,bright
"minimalist work capsule wardrobe, five pieces, loads of outfits",office,formal,understated,neutral
"something to wear to a baby shower that isn't too formal but also not jeans",party,semi-formal,understated,soft
"date night pub quiz look, casual and fun but still obviously made an effort",date,casual,no_constraint,neutral
"something to wear to a black and white themed party, not just a tux",party,semi-formal,bold,dark
"autumn casual looks that actually use autumn colours not just beige",casual,casual,no_constraint,dark
"what to wear to a destination beach wedding as a guest",wedding,semi-formal,no_constraint,bright
"power suit moment but make it wearable for my body type, I hate boxy fits",office,formal,bold,dark
"winter date outfit that's still cute even with a massive coat over it",date,semi-formal,understated,dark
"something to wear to a pop up market on a weekend, effortless and artistic",casual,casual,no_constraint,bright
"what to wear to a concert that starts at 7pm so part office part gig",party,semi-formal,no_constraint,neutral
"girls trip to Amsterdam looks, walkable cute, club ready by night",casual,casual,bold,bright
"soft feminine date look, meeting his friends for the first time",date,casual,understated,soft
"sustainable fashion going out look, thrifted energy but actually stylish",party,casual,no_constraint,neutral
"something to wear to a rooftop party in summer, breezy but still a look",party,casual,bold,bright
"going to a winter formal but it's at a venue that's always freezing, still want to look good",wedding,formal,formal,dark
"outdoor vineyard wedding guest look, breezy and feminine, nothing stiff",wedding,casual,formal,bright
"something flowy and pale for a daytime wedding, not white obviously",wedding,casual,formal,soft
"blush tones for a wedding guest outfit that feels effortless and put together",wedding,casual,formal,soft
"casual wedding vibe but still formal enough for the ceremony and dinner",wedding,casual,formal,soft
"dusty rose wedding guest dress that works in photos and real life",wedding,casual,formal,bright
"soft pastel moment for a beach wedding, midi or maxi, no stilettos",wedding,casual,formal,soft
"something in lavender or sage for a relaxed garden wedding",wedding,casual,formal,soft
"wedding guest look that feels soft and feminine without being too costume-y",wedding,casual,formal,soft
"pale blue dress for a summer wedding that's formal but breathable",wedding,casual,formal,soft
"floaty chiffon guest look for an afternoon wedding, light and airy",wedding,casual,formal,soft
"something romantic and soft for a wedding that's not evening dress formal",wedding,casual,formal,soft
"cream or ivory adjacent guest dress that isn't confused with the bride",wedding,casual,formal,soft
"soft peach wedding guest outfit, relaxed but elevated",wedding,casual,formal,soft
"maxi dress in muted tones for a countryside wedding, casual but dressy",wedding,casual,formal,soft
"blush pink long dress for a wedding that says put together without trying",wedding,casual,formal,soft
"what to wear to a morning wedding ceremony that's chic but not over the top",wedding,casual,formal,soft
"something in powder blue or mint for a sweet relaxed wedding",wedding,casual,formal,soft
"soft floral midi for a wedding that has no strict dress code",wedding,casual,formal,soft
"understated wedding guest look, muted palette, let the bride shine",wedding,casual,formal,soft
"sage green guest dress that's casual enough for an outdoor wedding",wedding,casual,formal,soft
"what to wear as a guest to a whimsical woodland wedding, soft and dreamy",wedding,casual,formal,soft
"pale pink wrap dress for a wedding, classic but modern, not fussy",wedding,casual,formal,soft
"soft toned outfit for a morning wedding followed by a relaxed garden party",wedding,casual,formal,soft
"something in dusty blue for a wedding that's casual but still feels special",wedding,casual,formal,soft
"wedding guest look in soft neutrals that transitions from ceremony to reception",wedding,casual,formal,soft
"floral print in muted pastels for a spring wedding, not trying too hard",wedding,casual,formal,soft
"pastel yellow midi dress for a wedding, cheerful but sophisticated",wedding,casual,formal,soft
"light and romantic guest look for a winery wedding at golden hour",wedding,casual,formal,soft
"something barely-there pink for a minimalist bride's very soft aesthetic wedding",wedding,casual,formal,soft
"soft cotton or linen wedding guest look that's formal enough but won't wrinkle badly",wedding,casual,formal,soft
"feminine and flowy for a destination wedding in a warm country, not a beach coverup",wedding,casual,formal,soft
"look for a casual morning wedding where the dress code is garden party chic",wedding,casual,formal,soft
"muted floral guest dress for an intimate wedding that's small and personal",wedding,casual,formal,soft
"soft tulle skirt moment for a wedding guest who wants to be a little dreamy",wedding,casual,formal,soft
"what to wear to a friend's elopement celebration dinner, soft and sentimental",wedding,casual,formal,soft
"pale lavender formal-ish dress that's still comfortable enough for a long wedding day",wedding,casual,formal,soft
"something in blush or nude that reads formal but feels like you barely tried",wedding,casual,formal,soft
"soft champagne guest dress that doesn't read too bridal but is still special",wedding,casual,formal,soft
"romantic wedding guest look inspired by cottagecore but still wedding-appropriate",wedding,casual,formal,soft
"black tie party look that's actually wearable and not just a costume",party,formal,understated,soft
"elevated going out dress for a fancy birthday dinner party, old money vibes",party,formal,understated,bright
"formal party fit that works for a charity gala in your twenties",party,formal,formal,dark
"something polished for a cocktail party that isn't your mum's idea of cocktail attire",party,semi-formal,formal,neutral
"red carpet energy for a formal party but make it Gen Z not Hollywood",party,formal,bold,soft
"statement gown for a black tie party that's daring but still tasteful",party,formal,bold,bright
"dramatic formal party look, full glam, no playing it safe tonight",party,formal,bold,dark
"bold suit moment for a formal party where everyone else will be in dresses",party,formal,bold,neutral
"formal party look where I want to stand out but not look try-hard",party,formal,no_constraint,soft
"something for a fancy work awards night that's festive and formal",party,formal,no_constraint,bright
"formal evening party look that feels like me not like a dress-up doll",party,formal,no_constraint,dark
"cocktail party look, I want to look expensive without spending a lot",party,formal,no_constraint,neutral
"going to a semi-formal rooftop party, upscale but not black tie",party,semi-formal,understated,soft
"birthday dinner at a nice restaurant, semi-formal but still fun energy",party,semi-formal,understated,bright
"semi-formal house party where the host always overdresses everyone else",party,semi-formal,understated,dark
"elevated but not stiff look for a cocktail hour before a wedding after-party",party,semi-formal,understated,neutral
"semi-formal masquerade party look, dramatic but wearable",party,semi-formal,bold,soft
"going out dress for a semi-formal birthday party, fun and attention-grabbing",party,semi-formal,bold,bright
"semi-formal Halloween party, scary but make it chic",party,semi-formal,bold,dark
"bold co-ord set for a fancy friend group dinner that counts as a party",party,semi-formal,bold,neutral
"something for an art gallery party that's semi-formal and actually interesting",party,semi-formal,no_constraint,soft
"going to a charity auction party, not too serious but smart enough",party,semi-formal,no_constraint,bright
"semi-formal leaving drinks look, memorable but not over the top",party,semi-formal,no_constraint,dark
"something for a friend's engagement party that's celebratory but understated",party,semi-formal,no_constraint,neutral
"rave-ready casual look that's still a whole outfit not just underwear",party,casual,understated,soft
"low-key birthday house party look, cute but like I didn't overthink it",party,casual,understated,bright
"casual going out look for a warehouse party, comfy shoes mandatory",party,casual,understated,dark
"something casual for a daytime garden party, not a dress not just jeans",party,casual,understated,neutral
"festival outfit that's bold and colourful but actually practical to wear all day",party,casual,bold,soft
"something to wear to a themed party that's committed but not embarrassing",party,casual,bold,bright
"casual but attention-grabbing look for a friend's birthday pub crawl",party,casual,bold,dark
"going out look for a dive bar birthday, casual but clearly made an effort",party,casual,bold,neutral
"hen party casual look that's fun without a sash or anything cringey",party,casual,no_constraint,soft
"what to wear to an outdoor day party when it might rain but you still want to look good",party,casual,no_constraint,bright
"casual house party look, arrived looking cute not like I came from the gym",party,casual,no_constraint,dark
"something for a low-key birthday picnic party that's still Instagram-worthy",party,casual,no_constraint,neutral
"formal wedding guest look that's polished but still has personality",wedding,formal,understated,soft
"formal afternoon wedding, something in a warm tone that photographs beautifully",wedding,formal,understated,bright
"black tie optional wedding, I want to dress up but not be the only one in a gown",wedding,formal,understated,dark
"winter formal wedding, need something warm but still wedding-level dressy",wedding,formal,understated,neutral
"bold formal wedding guest look, I want to be remembered but not for wrong reasons",wedding,formal,bold,soft
"wearing a maximalist formal gown to a wedding, lots of texture and detail",wedding,formal,bold,bright
"dramatic dark formal look for a winter wedding, jewel tones and structure",wedding,formal,bold,dark
"statement trouser suit for a formal wedding as a guest who hates dresses",wedding,formal,bold,neutral
"formal evening wedding look that feels effortless not stiff",wedding,formal,no_constraint,soft
"what to wear to a formal Indian wedding as a non-Indian guest",wedding,formal,no_constraint,bright
"formal wedding in a church, need something that covers shoulders but still looks good",wedding,formal,no_constraint,dark
"formal winter wedding guest look, monochrome but not boring",wedding,formal,no_constraint,neutral
"semi-formal wedding on a farm, chic but heels would sink into the grass",wedding,semi-formal,understated,soft
"semi-formal destination wedding abroad, lightweight and pretty",wedding,semi-formal,understated,bright
"semi-formal autumn wedding, something in deep tones that isn't too dark",wedding,semi-formal,understated,dark
"semi-formal city wedding, sleek and modern not fussy or ruffly",wedding,semi-formal,understated,neutral
"semi-formal wedding guest look that's a bit fashion-forward but still appropriate",wedding,semi-formal,bold,soft
"colourful semi-formal wedding look, I want to be bold but not upstage the bride",wedding,semi-formal,bold,bright
"semi-formal gothic wedding aesthetic as a guest, dark but celebratory",wedding,semi-formal,bold,dark
"bold print dress for a semi-formal outdoor summer wedding",wedding,semi-formal,bold,neutral
"semi-formal boho wedding look, floaty and free but still put together",wedding,semi-formal,no_constraint,soft
"what to wear to a semi-formal rooftop wedding, breezy but elevated",wedding,semi-formal,no_constraint,bright
"semi-formal wedding where everyone will be overdressed, still want to fit in",wedding,semi-formal,no_constraint,dark
"something for a semi-formal elopement celebration that's joyful and relaxed",wedding,semi-formal,no_constraint,neutral
"casual beach wedding guest look, barefoot optional but still pretty",wedding,casual,understated,soft
"casual outdoor picnic wedding, something that works on grass and in photos",wedding,casual,understated,bright
"casual wedding celebration in a pub garden, not a dress code but still want to look nice",wedding,casual,understated,dark
"relaxed casual wedding in someone's backyard, sundress energy but thoughtful",wedding,casual,understated,neutral
"bold casual wedding guest look, I don't want to blend into the background",wedding,casual,bold,soft
"bright and bold casual wedding look, it's a colourful celebration",wedding,casual,bold,bright
"edgy casual wedding guest fit, the couple has alternative style so I can too",wedding,casual,bold,dark
"casual wedding with a bold co-ord set, not a dress but still festive",wedding,casual,bold,neutral
"casual wedding look that's relaxed but still says I respect the occasion",wedding,casual,no_constraint,soft
"something for a casual afternoon wedding in summer, nothing too structured",wedding,casual,no_constraint,bright
"laid-back wedding in a brewery, casual but still a step above normal clothes",wedding,casual,no_constraint,dark
"relaxed wedding dress code says wear what you want, panicking slightly",wedding,casual,no_constraint,neutral
"formal office look that commands respect in a boardroom full of older men",office,formal,understated,soft
"classic formal workwear in soft tones that never goes out of style",office,formal,understated,soft
"office formal look inspired by old money, nothing trendy just quality",office,formal,understated,bright
"bright formal office look, I want colour in my workwear not just navy and grey",office,formal,understated,bright
"dark formal office looks for winter, sleek and serious without being gloomy",office,formal,understated,dark
"all-dark formal workwear capsule, I only wear dark colours to the office",office,formal,understated,dark
"neutral formal office wardrobe that mixes and matches easily",office,formal,understated,neutral
"understated formal office look, no logos, no trends, just great tailoring",office,formal,understated,neutral
"bold formal workwear, I want to wear colour and not apologise for it",office,formal,bold,soft
"power dressing in soft tones, feminine but clearly in charge",office,formal,bold,bright
"making a statement in the office with a bold formal look, not costume just confidence",office,formal,bold,dark
"corporate girl bold look, formal but clearly has opinions about fashion",office,formal,bold,neutral
"formal office look that has no rules, just needs to look professional",office,formal,no_constraint,soft
"something for a formal work event that isn't stuffy or boring",office,formal,no_constraint,bright
"formal office look with a fashion edge, I work in a creative industry",office,formal,no_constraint,dark
"formal workwear that doesn't erase my personality",office,formal,no_constraint,neutral
"semi-formal office look for a Friday that still looks intentional",office,semi-formal,understated,soft
"business casual in pastel tones, still professional but less rigid",office,semi-formal,understated,bright
"semi-formal dark work outfit that's polished but not uptight",office,semi-formal,understated,dark
"smart casual office look, the dress code is vague and I'm stressed",office,semi-formal,understated,neutral
"bold semi-formal work look that breaks the beige office aesthetic",office,semi-formal,bold,soft
"semi-formal office outfit with a pop of colour that still looks intentional",office,semi-formal,bold,bright
"semi-formal dark office look with interesting texture or detail",office,semi-formal,bold,dark
"making a statement in business casual, bold accessories and a strong outfit",office,semi-formal,bold,neutral
"semi-formal office look I can wear to an external meeting and feel confident",office,semi-formal,no_constraint,soft
"business casual summer look, light enough for the heat professional enough for meetings",office,semi-formal,no_constraint,bright
"semi-formal winter work outfit, layered and interesting not just a jumper",office,semi-formal,no_constraint,dark
"smart casual office look that works for video calls and in-person days",office,semi-formal,no_constraint,neutral
"casual work from home outfit that still makes me feel like a professional",office,casual,understated,soft
"casual Friday office look that's still polished not just jeans and a tee",office,casual,understated,bright
"casual work outfit in dark tones that's comfortable but still looks intentional",office,casual,understated,dark
"relaxed work day outfit, neutral and easy but clearly not lazy",office,casual,understated,neutral
"bold casual workwear, I want to wear something fun even on a low-key day",office,casual,bold,soft
"casual office day but make it fashion, bright colours and interesting shapes",office,casual,bold,bright
"casual dark office look with an edge, not corporate but still appropriate",office,casual,bold,dark
"casual Friday bold look, I'm dressing for myself not the dress code",office,casual,bold,neutral
"casual work outfit where literally anything goes, startup culture dress code",office,casual,no_constraint,soft
"no dress code office outfit, how do I look professional without rules",office,casual,no_constraint,bright
"casual work day, dark colours, comfortable, still looks like I tried",office,casual,no_constraint,dark
"relaxed office day look with no constraints, comfortable and cute",office,casual,no_constraint,neutral
"everyday casual look in soft tones, something I'd actually reach for daily",casual,formal,understated,soft
"formal casual contradiction, elevated everyday clothes in muted tones",casual,formal,understated,bright
"dark toned formal-ish everyday look for someone who dresses up even on days off",casual,formal,understated,dark
"neutral toned casual look that feels intentional and put together",casual,formal,understated,neutral
"bold everyday look in soft colours, feminine and confident",casual,formal,bold,soft
"bright bold casual outfit for a girl who makes every errand a fashion moment",casual,formal,bold,bright
"edgy everyday look in dark tones, I dress up even when I'm just going to the shops",casual,formal,bold,dark
"bold neutral casual look, statement pieces but in a quiet palette",casual,formal,bold,neutral
"elevated casual look with no rules, just want to look good running errands",casual,formal,no_constraint,soft
"bright and free casual look for a day off, no agenda just vibes",casual,formal,no_constraint,bright
"dark casual look with an editorial feel, I want to look like a photo even on a normal day",casual,formal,no_constraint,dark
"effortless casual look in neutrals, the kind of outfit that photographs well spontaneously",casual,formal,no_constraint,neutral
"soft and cosy semi-formal casual look for a lunch with friends at a nice cafe",casual,semi-formal,understated,soft
"bright semi-formal casual look for a daytime event that isn't quite a party",casual,semi-formal,understated,bright
"semi-formal dark casual outfit, dressed up but not going anywhere fancy",casual,semi-formal,understated,dark
"neutral semi-formal everyday look, looks like an outfit not just clothes",casual,semi-formal,understated,neutral
"bold soft tones for an elevated casual day out, I overdress for everything",casual,semi-formal,bold,soft
"bright bold semi-formal casual look, I dress like I'm always going somewhere",casual,semi-formal,bold,bright
"dark bold semi-formal casual outfit for someone with maximalist tendencies",casual,semi-formal,bold,dark
"bold neutral semi-formal casual look, understated drama",casual,semi-formal,bold,neutral
"semi-formal casual look with no dress code, just want to look elevated",casual,semi-formal,no_constraint,soft
"bright and breezy semi-formal casual look for an afternoon out",casual,semi-formal,no_constraint,bright
"dark and interesting semi-formal casual look, not going out just living my life",casual,semi-formal,no_constraint,dark
"effortless semi-formal casual outfit in neutral tones that looks expensive",casual,semi-formal,no_constraint,neutral
"soft toned truly casual outfit that's comfortable but not sloppy",casual,casual,understated,soft
"casual bright look for a fun day with friends, effortless and colourful",casual,casual,understated,bright
"dark casual everyday look that's cool without trying, my usual vibe",casual,casual,understated,dark
"truly casual neutral outfit that still has a point of view",casual,casual,understated,neutral
"bold and soft casual look, feminine and playful for a day off",casual,casual,bold,soft
"bold bright casual outfit for when I want to be noticed even at the supermarket",casual,casual,bold,bright
"dark bold casual look, my everyday style is kind of intense and I love it",casual,casual,bold,dark
"bold neutral casual outfit, I wear interesting pieces even casually",casual,casual,bold,neutral
"casual no rules soft look, comfortable and feminine and that's it",casual,casual,no_constraint,soft
"casual bright look with no agenda, just happy colours and comfy clothes",casual,casual,no_constraint,bright
"dark casual look, no rules, just vibes, I wear what I want",casual,casual,no_constraint,dark
"relaxed neutral casual look, clean and simple but still considered",casual,casual,no_constraint,neutral
"formal first date look in soft tones, romantic and elegant without overdressing",date,formal,understated,soft
"formal date look in warm bright tones, I want to glow not disappear",date,formal,understated,bright
"formal dark date look, moody and mysterious for a fancy dinner",date,formal,understated,dark
"formal neutral date look, classic and timeless, nothing too trendy",date,formal,understated,neutral
"bold soft toned formal date look, I want to feel feminine and powerful",date,formal,bold,soft
"bright bold formal date look, I'm going to a fancy dinner and want to turn heads",date,formal,bold,bright
"dark bold formal date look, drama and confidence for a high-stakes evening",date,formal,bold,dark
"bold neutral formal date look, strong tailoring and serious style energy",date,formal,bold,neutral
"formal date with no rules, something that feels right not just appropriate",date,formal,no_constraint,soft
"formal date look that's vibrant and joyful not stiff or stuffy",date,formal,no_constraint,bright
"formal dark date look with an unexpected twist, not just a little black dress",date,formal,no_constraint,dark
"formal date look in neutrals that feels personal and not generic",date,formal,no_constraint,neutral
"semi-formal date look in soft colours, pretty and approachable",date,semi-formal,understated,soft
"bright semi-formal date look, summery and flirty for an outdoor dinner",date,semi-formal,understated,bright
"semi-formal dark date outfit, going somewhere nice but not black tie",date,semi-formal,understated,dark
"semi-formal neutral date look, chic and effortless for a nice restaurant",date,semi-formal,understated,neutral
"bold soft semi-formal date look, I want to look romantic and intentional",date,semi-formal,bold,soft
"bright bold semi-formal date look, I dress for myself not just for the occasion",date,semi-formal,bold,bright
"dark bold semi-formal date look, a bit dramatic for a Thursday night but worth it",date,semi-formal,bold,dark
"bold neutral semi-formal date look, statement outfit for a memorable evening",date,semi-formal,bold,neutral
"semi-formal date look with no constraints, something I feel amazing in",date,semi-formal,no_constraint,soft
"semi-formal date look that's vibrant and free, second date energy",date,semi-formal,no_constraint,bright
"semi-formal dark date look, I want intrigue and elegance without full formality",date,semi-formal,no_constraint,dark
"semi-formal neutral date look that still feels like a special occasion",date,semi-formal,no_constraint,neutral
"casual soft date look, sweet and feminine for a relaxed afternoon date",date,casual,understated,soft
"casual bright date look, sunny and happy for a daytime date in the park",date,casual,understated,bright
"casual dark date look, cool and low-key for a record shop browse then coffee",date,casual,understated,dark
"casual neutral date look, effortless and genuine, not trying to be someone I'm not",date,casual,understated,neutral
"bold soft casual date look, pretty and playful for a chill first date",date,casual,bold,soft
"bold bright casual date look, I want to be memorable on a daytime date",date,casual,bold,bright
"bold dark casual date look, edgy and interesting for a guy who likes that",date,casual,bold,dark
"bold neutral casual date look, confident and cool without needing colour",date,casual,bold,neutral
"casual date look in soft tones with no rules, just want to feel like myself",date,casual,no_constraint,soft
"casual bright date look, colourful and fun for someone I actually like",date,casual,no_constraint,bright
"casual dark date look with no agenda, effortlessly cool without trying",date,casual,no_constraint,dark
"relaxed neutral casual date look, the kind of outfit that looks accidental but isn't",date,casual,no_constraint,neutral
"something for a formal house party where everyone dresses up, theatrical and fun",party,formal,understated,soft
"glamorous formal party look, I want to feel like a movie character not just a guest",party,formal,bold,bright
"formal NYE look that's timeless and won't look dated in photos years later",party,formal,no_constraint,dark
"high fashion formal party look, something editorial and unexpected",party,formal,understated,neutral
"formal wedding guest look that's architectural and structured, not just a pretty dress",wedding,formal,bold,soft
"formal wedding in a castle, I want to match the venue energy",wedding,formal,no_constraint,bright
"black tie wedding look that's feminine and dreamy not just a standard gown",wedding,formal,understated,dark
"formal outdoor evening wedding, need something that looks good in candlelight",wedding,formal,bold,neutral
"elevated casual day off look that feels formal even without an occasion",casual,formal,understated,soft
"casual formal contradiction, I dress formally even when I'm doing nothing",casual,formal,bold,bright
"formal-feeling everyday look for a girl who never underdresses",casual,formal,no_constraint,dark
"truly elevated casual look in neutrals, quiet luxury but for a day at home",casual,formal,understated,neutral
"formal first date energy, I want to look like I take this seriously",date,formal,bold,soft
"elevated formal date look that feels personal and not like a uniform",date,formal,no_constraint,bright
"formal date look for someone who wants to feel powerful and attractive simultaneously",date,formal,understated,dark
"formal evening date look with a sense of humour, not stiff just elevated",date,formal,bold,neutral
"party look for a winter ball that's glamorous but won't freeze me to death",party,formal,understated,soft
"upscale holiday party dress that doesn't scream office christmas party",party,formal,understated,bright
"something sleek and formal for a college formal that isn't a prom dress",party,formal,understated,dark
"classic formal party look for a gala that I can rewear to other events",party,formal,understated,neutral
"feminine power look for a fancy networking party where I want to be remembered",party,formal,bold,soft
"metallic formal party dress that's actually wearable not just shiny",party,formal,bold,bright
"dark dramatic formal party look, full fantasy no apologies",party,formal,bold,dark
"strong structured formal party look in neutral tones, zero fuss maximum impact",party,formal,bold,neutral
"formal party look that feels like art not just getting dressed up",party,formal,no_constraint,soft
"something for a formal launch party that looks like I belong there",party,formal,no_constraint,bright
"formal dinner party guest look, intimate setting so every detail matters",party,formal,no_constraint,dark
"formal party at a museum, I want to match the energy of the space",party,formal,no_constraint,neutral
"semi-formal graduation party look, celebrating but make it fashion",party,semi-formal,understated,soft
"something for a semi-formal summer solstice party, mystical but wearable",party,semi-formal,understated,bright
"semi-formal awards night look that's memorable but not distracting",party,semi-formal,understated,dark
"smart casual birthday party look that's elevated without being formal",party,semi-formal,understated,neutral
"semi-formal midsummer party look, romantic and a little dramatic",party,semi-formal,bold,soft
"something vibrant for a semi-formal Caribbean themed party",party,semi-formal,bold,bright
"semi-formal Halloween adjacent party where I want to look dark and cool not costumey",party,semi-formal,bold,dark
"bold co-ord for a semi-formal dinner party where I know everyone will be stylish",party,semi-formal,bold,neutral
"semi-formal book club party look, intellectual but still cute",party,semi-formal,no_constraint,soft
"what to wear to a semi-formal outdoor summer party at someone's villa",party,semi-formal,no_constraint,bright
"semi-formal leaving party look, I want people to remember how good I looked",party,semi-formal,no_constraint,dark
"something for a semi-formal surprise party where I'm a guest not the host",party,semi-formal,no_constraint,neutral
"casual birthday garden party look, pretty but prepared for the grass",party,casual,understated,soft
"something for an outdoor daytime party that won't look crumpled by noon",party,casual,understated,bright
"casual going out to a concert look, comfortable enough to stand for hours",party,casual,understated,dark
"easy casual party look for a very low effort Sunday afternoon gathering",party,casual,understated,neutral
