prompt,occasion,formality,constraint,color_tone,occasion_soft,formality_soft,constraint_soft,color_tone_soft,split,source
"casual beach wedding guest look, barefoot optional but still pretty",wedding,casual,understated,soft,"{""wedding"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
"bold casual wedding guest look, I don't want to blend into the background",wedding,casual,bold,soft,"{""wedding"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",heldout,original
"power dressing in soft tones, feminine but clearly in charge",office,formal,bold,bright,"{""office"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"formal office look with a fashion edge, I work in a creative industry",office,formal,no_constraint,dark,"{""office"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",heldout,original
"making a statement in business casual, bold accessories and a strong outfit",office,semi-formal,bold,neutral,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",heldout,original
smart casual office look that works for video calls and in-person days,office,semi-formal,no_constraint,neutral,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",heldout,original
"casual dark office look with an edge, not corporate but still appropriate",office,casual,bold,dark,"{""office"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",heldout,original
"casual Friday bold look, I'm dressing for myself not the dress code",office,casual,bold,neutral,"{""office"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",heldout,original
"relaxed office day look with no constraints, comfortable and cute",office,casual,no_constraint,neutral,"{""office"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",heldout,original
"everyday casual look in soft tones, something I'd actually reach for daily",casual,formal,understated,soft,"{""casual"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
soft and cosy semi-formal casual look for a lunch with friends at a nice cafe,casual,semi-formal,understated,soft,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
"semi-formal casual look with no dress code, just want to look elevated",casual,semi-formal,no_constraint,soft,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",heldout,original
soft toned truly casual outfit that's comfortable but not sloppy,casual,casual,understated,soft,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
"dark casual look, no rules, just vibes, I wear what I want",casual,casual,no_constraint,dark,"{""casual"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",heldout,original
"formal dark date look, moody and mysterious for a fancy dinner",date,formal,understated,dark,"{""date"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
"bold soft semi-formal date look, I want to look romantic and intentional",date,semi-formal,bold,soft,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",heldout,original
"bright bold semi-formal date look, I dress for myself not just for the occasion",date,semi-formal,bold,bright,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"semi-formal date look with no constraints, something I feel amazing in",date,semi-formal,no_constraint,soft,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",heldout,original
"casual neutral date look, effortless and genuine, not trying to be someone I'm not",date,casual,understated,neutral,"{""date"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,original
"bold soft casual date look, pretty and playful for a chill first date",date,casual,bold,soft,"{""date"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",heldout,original
"something for a formal house party where everyone dresses up, theatrical and fun",party,formal,understated,soft,"{""party"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
"formal wedding in a castle, I want to match the venue energy",wedding,formal,no_constraint,bright,"{""wedding"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",heldout,original
"formal first date energy, I want to look like I take this seriously",date,formal,bold,soft,"{""date"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",heldout,original
formal date look for someone who wants to feel powerful and attractive simultaneously,date,formal,understated,dark,"{""date"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
something for an outdoor daytime party that won't look crumpled by noon,party,casual,understated,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",heldout,original
"going to a friend's flat party, no dress code, I just want to look effortlessly good",party,casual,no_constraint,dark,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",heldout,original
casual birthday brunch outfit that's festive without looking like I'm trying,party,casual,no_constraint,neutral,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",heldout,original
"semi-formal gothic manor wedding, I want to lean into the architecture",wedding,semi-formal,bold,dark,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",heldout,original
"semi-formal winter wedding, I don't want to be cold but I still want to look good",wedding,semi-formal,no_constraint,dark,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",heldout,original
"tropical prints for a casual beach side wedding, fun and appropriate",wedding,casual,bold,bright,"{""wedding"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"casual but statement making wedding look, the couple is very cool and I respect that",wedding,casual,bold,neutral,"{""wedding"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",heldout,original
relaxed casual wedding where I still want to feel special even without a dress code,wedding,casual,no_constraint,soft,"{""wedding"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",heldout,original
"formal dark office look with presence, I want to walk into the room and be noticed",office,formal,bold,dark,"{""office"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",heldout,original
"something formal for a work trip to another city, polished and travel ready",office,formal,no_constraint,bright,"{""office"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",heldout,original
semi-formal work look for my first week at a new job when I'm still reading the room,office,semi-formal,understated,dark,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
"wfh outfit for a day of deep focus, no calls, just want to feel productive and calm",office,casual,understated,soft,"{""office"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
"bold casual work from home look, I dress up even when no one can see me",office,casual,bold,soft,"{""office"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",heldout,original
"casual work day with a bold colour moment, I need something fun to get through the week",office,casual,bold,bright,"{""office"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"casual work look with a statement piece, neutral base interesting addition",office,casual,bold,neutral,"{""office"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",heldout,original
neutral elegant casual look for a girl who treats daily dressing as a ritual,casual,formal,understated,neutral,"{""casual"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,original
"soft elevated casual look with no agenda, just dressing for joy",casual,formal,no_constraint,soft,"{""casual"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",heldout,original
dark semi-formal casual look for a sophisticated afternoon out,casual,semi-formal,understated,dark,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
"neutral everyday casual look that's effortless and clean, no fuss",casual,casual,understated,neutral,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,original
"bold neutral casual look, interesting shapes and textures in a quiet palette",casual,casual,bold,neutral,"{""casual"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",heldout,original
"semi-formal evening date, nice bar then dinner, dark and elegant",date,semi-formal,understated,dark,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
bright bold semi-formal date look for a summer evening with serious potential,date,semi-formal,bold,bright,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"formal warehouse rave turned upscale event, I don't know what to wear but it's a look",party,formal,understated,soft,"{""party"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
"formal wedding weekend opening dinner, sets the tone for the whole trip",wedding,formal,understated,neutral,"{""wedding"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,original
formal office look for an award ceremony where I'm being recognised,office,formal,bold,neutral,"{""office"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",heldout,original
"casual date at a bookshop followed by a walk, intellectual and quietly pretty",casual,casual,understated,soft,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
elevated casual look for a lazy Saturday that has photo potential,casual,formal,understated,dark,"{""casual"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
"formal date to a classical concert, I want to look like I belong in that world",date,formal,understated,soft,"{""date"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
something for a winter formal gala where the dress code says white tie and I'm panicking,party,formal,understated,soft,"{""party"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
"something for a semi-formal boat party in summer, glamorous but sea-worthy",party,semi-formal,understated,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",heldout,original
neon party look that's bold and camp and completely intentional,party,semi-formal,bold,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"something for a semi-formal champagne tasting evening, sophisticated and relaxed",party,semi-formal,no_constraint,soft,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",heldout,original
something for a semi-formal dinner party where everyone will definitely compare outfits,party,semi-formal,no_constraint,dark,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",heldout,original
"going to a friend's leaving drinks at a pub, no effort required but I'm still me",party,casual,understated,dark,"{""party"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
"something for a casual cinema birthday party, comfy but considered",party,casual,no_constraint,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",heldout,original
something for a formal gala where I'll be photographed on a step and repeat,party,formal,understated,bright,"{""party"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",heldout,original
"formal party at an embassy, I don't know the rules but I know the vibe",party,formal,no_constraint,neutral,"{""party"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",heldout,original
"semi-formal summer party at a vineyard, the grapes are ripening and so am I",party,semi-formal,understated,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",heldout,original
"maximalist formal wedding guest look, the venue is grand and I want to be too",wedding,formal,bold,bright,"{""wedding"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
formal wedding where I genuinely want to look like the best dressed guest,wedding,formal,no_constraint,dark,"{""wedding"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",heldout,original
"casual wedding on a narrowboat, limited space and no heels possible",wedding,casual,understated,soft,"{""wedding"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
"casual wedding with a dark aesthetic, the couple loves the dramatic and so do I",wedding,casual,bold,dark,"{""wedding"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",heldout,original
"casual intimate wedding with twelve guests, relaxed but the photos will last forever",wedding,casual,no_constraint,neutral,"{""wedding"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",heldout,original
"semi-formal spring wedding with a colour palette set by the bride, I'm working within it",wedding,semi-formal,understated,bright,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",heldout,original
semi-formal gothic wedding where guests were told to dress accordingly,wedding,semi-formal,bold,dark,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",heldout,original
"semi-formal wedding where I'm a guest and also doing a reading, dual role",wedding,semi-formal,no_constraint,bright,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",heldout,original
"formal office look that reads quietly expensive, not flashy just right",office,formal,understated,neutral,"{""office"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,original
formal office look that's creative enough for my industry and professional enough for clients,office,formal,no_constraint,dark,"{""office"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",heldout,original
semi-formal work look I can walk to the office in and not look like I commuted,office,semi-formal,no_constraint,soft,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",heldout,original
smart casual work look for a startup where the dress code is genuinely whatever,office,semi-formal,no_constraint,bright,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",heldout,original
semi-formal office look that can go from a team lunch to an evening event,office,semi-formal,no_constraint,dark,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",heldout,original
"casual dark work look, comfortable and interesting, I work in a place that appreciates it",office,casual,no_constraint,dark,"{""office"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",heldout,original
formal office look for a company with a strict dress code I actually like following,office,formal,no_constraint,bright,"{""office"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",heldout,original
dark bold formal everyday look for someone who genuinely dresses for themselves only,casual,formal,bold,dark,"{""casual"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",heldout,original
"dark semi-formal casual look, no rules, just the vibe I live in",casual,semi-formal,no_constraint,dark,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",heldout,original
soft casual everyday look for a day off I want to savour,casual,casual,understated,soft,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
bright casual look for a spontaneous summer day with no plan,casual,casual,no_constraint,bright,"{""casual"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",heldout,original
"neutral casual look, simple and considered, the most me I know how to be",casual,casual,no_constraint,neutral,"{""casual"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",heldout,original
dark formal everyday look with no agenda other than looking extraordinary,casual,formal,no_constraint,dark,"{""casual"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",heldout,original
"dark semi-formal casual look, dressed up with nowhere to go and loving it",casual,semi-formal,understated,dark,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
bright casual look for a day I want my outfit to do the talking,casual,casual,no_constraint,bright,"{""casual"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",heldout,original
"bold romantic formal date look, soft and feminine and completely intentional",date,formal,bold,soft,"{""date"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",heldout,original
"dark dramatic formal date look, I want to be mysterious and beautiful",date,formal,bold,dark,"{""date"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",heldout,original
"bold dark semi-formal date look, I want to be magnetic and a little intense",date,semi-formal,bold,dark,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",heldout,original
"dark casual date look, completely free, I know what works for me",date,casual,no_constraint,dark,"{""date"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",heldout,original
dark semi-formal casual look for a leisurely afternoon with high standards,casual,semi-formal,understated,dark,"{""casual"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
bright formal date look for an evening I've thought about every day since it was planned,date,formal,bold,bright,"{""date"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"dark formal date, no constraints, I want to be beautiful in a way that's entirely mine",date,formal,understated,dark,"{""date"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
"neutral formal date look with complete freedom, the very best version of who I am",date,formal,bold,neutral,"{""date"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",heldout,original
bright semi-formal date look for a golden hour evening that deserves to be beautiful,date,semi-formal,bold,bright,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"soft casual date look, a slow morning coffee date that might turn into the whole day",date,casual,understated,soft,"{""date"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
"dark casual date look with zero constraints, effortless in the truest sense",date,casual,understated,dark,"{""date"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,original
"weekend lake house getaway, relaxed cabincore, flannels and denim",vacation,casual,understated,neutral,"{""vacation"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,seed_vacation
"poolside lounging on holiday, kaftans and oversized sunglasses",vacation,casual,no_constraint,bright,"{""vacation"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",heldout,seed_vacation
"winter escape to the desert, warm days cold nights, layering pieces",vacation,casual,understated,neutral,"{""vacation"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,seed_vacation
"vacation in a cold climate, chunky knits and a good coat for walking around town",vacation,casual,understated,neutral,"{""vacation"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,seed_vacation
"two weeks in japan in autumn, walkable layers, muted tones for the cities",vacation,casual,understated,dark,"{""vacation"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",heldout,seed_vacation
"scenic train journey through switzerland, comfy layered neutrals for long days",vacation,casual,understated,neutral,"{""vacation"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,seed_vacation
"beach wedding guest, formal-ish but breezy for the sand",wedding,semi-formal,understated,soft,"{""vacation"": 0.25, ""wedding"": 0.75}","{""formal"": 0.4, ""semi-formal"": 0.6}","{""no_constraint"": 0.4, ""understated"": 0.6}","{""bright"": 0.4, ""soft"": 0.6}",heldout,seed_blend
"first date at a nice restaurant, elegant but not like i tried too hard",date,semi-formal,understated,neutral,"{""date"": 1.0}","{""casual"": 0.4, ""semi-formal"": 0.6}","{""no_constraint"": 0.3, ""understated"": 0.7}","{""dark"": 0.4, ""neutral"": 0.6}",heldout,seed_blend
"holiday but there is one fancy dinner, mostly beach with one dressy look",vacation,casual,understated,bright,"{""date"": 0.3, ""vacation"": 0.7}","{""casual"": 0.6, ""semi-formal"": 0.4}","{""no_constraint"": 0.4, ""understated"": 0.6}","{""bright"": 0.5, ""soft"": 0.5}",heldout,seed_blend
"date night but we are just walking and getting coffee, pretty but low effort",date,casual,understated,neutral,"{""date"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 0.3, ""understated"": 0.7}","{""neutral"": 0.5, ""soft"": 0.5}",heldout,seed_blend
"beach holiday with a boat party one afternoon, mostly relaxed one loud look",vacation,casual,bold,bright,"{""party"": 0.35, ""vacation"": 0.65}","{""casual"": 1.0}","{""bold"": 0.5, ""no_constraint"": 0.5}","{""bright"": 1.0}",heldout,seed_blend
"team offsite dinner, smart casual, relaxed but not scruffy",office,semi-formal,understated,neutral,"{""casual"": 0.45, ""office"": 0.55}","{""casual"": 0.4, ""semi-formal"": 0.6}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,seed_blend
"casual engagement dinner at home, festive but relaxed",wedding,casual,no_constraint,bright,"{""casual"": 0.45, ""wedding"": 0.55}","{""casual"": 0.6, ""semi-formal"": 0.4}","{""no_constraint"": 0.6, ""understated"": 0.4}","{""bright"": 0.5, ""soft"": 0.5}",heldout,seed_blend
"birthday party but daytime and outdoors, playful and sunny not night-out",party,casual,no_constraint,bright,"{""casual"": 0.3, ""party"": 0.7}","{""casual"": 1.0}","{""bold"": 0.45, ""no_constraint"": 0.55}","{""bright"": 1.0}",heldout,seed_blend
