product_id,title,price,image_url,url,local_image_path,garment_code,occasion_scores,boldness_scores,color_scores,formality_scores
11,Maroon Embellished Off Shoulder Dress,₹1529,https://assets.newme.asia/wp-content/uploads/2025/07/21171726a657059d/NM-IN-56-DRS-24-SEP-9134-MAROON(1).webp,https://newme.asia/product/maroon-embellished-off-shoulder-dress-2,product_images/10.jpg,DRS,"{""casual everyday wear"": 0.0893, ""party outfit"": 0.2917, ""wedding guest outfit"": 0.4107, ""office wear"": 0.006, ""date night outfit"": 0.1488, ""beach vacation outfit"": 0.0536}","{""subtle and understated outfit"": 0.1154, ""bold and loud statement outfit"": 0.8846}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.1915, ""semi formal outfit"": 0.5816, ""casual informal outfit"": 0.227}"
12,Black Solid One Shoulder Top,₹429,https://assets.newme.asia/wp-content/uploads/2026/01/141248540d8de836/NM-IN-56-BLS-25-OCT-25336-BLACK(1).webp,https://newme.asia/product/black-solid-one-shoulder-top-11,product_images/11.jpg,BLS,"{""casual everyday wear"": 0.2063, ""party outfit"": 0.3312, ""wedding guest outfit"": 0.0688, ""office wear"": 0.1188, ""date night outfit"": 0.2687, ""beach vacation outfit"": 0.0063}","{""subtle and understated outfit"": 0.5, ""bold and loud statement outfit"": 0.5}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.1579, ""semi formal outfit"": 0.4615, ""casual informal outfit"": 0.3806}"
13,Maroon Solid Slit Bodycon Midi Dress,₹639,https://assets.newme.asia/wp-content/uploads/2026/05/09102408177a07d0/NM-IN-56-DRS-24-APR-5058-MAROON(0).webp,https://newme.asia/product/maroon-solid-slit-bodycon-midi-dress,product_images/12.jpg,DRS,"{""casual everyday wear"": 0.0577, ""party outfit"": 0.3808, ""wedding guest outfit"": 0.0962, ""office wear"": 0.0654, ""date night outfit"": 0.3654, ""beach vacation outfit"": 0.0346}","{""subtle and understated outfit"": 0.5, ""bold and loud statement outfit"": 0.5}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.1788, ""semi formal outfit"": 0.6093, ""casual informal outfit"": 0.2119}"
14,Red Solid Fitted Maxi Dress,₹999,https://assets.newme.asia/wp-content/uploads/2026/01/291024165d8aab25/NM-IN-56-DRS-24-APR-4656-RED(0).webp,https://newme.asia/product/red-solid-fitted-maxi-dress,product_images/13.jpg,DRS,"{""casual everyday wear"": 0.0962, ""party outfit"": 0.1859, ""wedding guest outfit"": 0.3141, ""office wear"": 0.0064, ""date night outfit"": 0.2372, ""beach vacation outfit"": 0.1603}","{""subtle and understated outfit"": 0.9348, ""bold and loud statement outfit"": 0.0652}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.7857, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.2143, ""semi formal outfit"": 0.5317, ""casual informal outfit"": 0.254}"
15,Yellow Floral A-Line Mini Dress,₹949,https://assets.newme.asia/wp-content/uploads/2025/11/131655005644e8cd/NM-PRC-385-DRS-25-NOV-26608-YELLOW(1).webp,https://newme.asia/product/yellow-floral-a-line-mini-dress,product_images/14.jpg,DRS,"{""casual everyday wear"": 0.121, ""party outfit"": 0.2339, ""wedding guest outfit"": 0.2016, ""office wear"": 0.0081, ""date night outfit"": 0.2661, ""beach vacation outfit"": 0.1694}","{""subtle and understated outfit"": 0.1154, ""bold and loud statement outfit"": 0.8846}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.7857, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.2328, ""semi formal outfit"": 0.4914, ""casual informal outfit"": 0.2759}"
16,Red One Shoulder Ruched Dress,₹569,https://assets.newme.asia/wp-content/uploads/2026/05/09102331e3473fe4/NM-IN-56-DRS-24-APR-5058-RED(0).webp,https://newme.asia/product/red-one-shoulder-ruched-dress,product_images/15.jpg,DRS,"{""casual everyday wear"": 0.1, ""party outfit"": 0.3667, ""wedding guest outfit"": 0.1667, ""office wear"": 0.0067, ""date night outfit"": 0.3, ""beach vacation outfit"": 0.06}","{""subtle and understated outfit"": 0.0652, ""bold and loud statement outfit"": 0.9348}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.7857, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.2328, ""semi formal outfit"": 0.4914, ""casual informal outfit"": 0.2759}"
17,Dark Grey Mid Rise Wide Led Jeans,₹999,https://assets.newme.asia/wp-content/uploads/2025/07/23203052e771e235/NM-IN-56-JNS-25-MAR-12870-DARKGREY_(1).webp,https://newme.asia/product/dark-grey-mid-rise-wide-led-jeans,product_images/16.jpg,JNS,"{""casual everyday wear"": 0.6771, ""party outfit"": 0.1146, ""wedding guest outfit"": 0.0104, ""office wear"": 0.0729, ""date night outfit"": 0.1146, ""beach vacation outfit"": 0.0104}","{""subtle and understated outfit"": 0.5, ""bold and loud statement outfit"": 0.5}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.7857}","{""very formal outfit"": 0.0405, ""semi formal outfit"": 0.1757, ""casual informal outfit"": 0.7838}"
18,Beige Sweetheart Mermaid Maxi Dress,₹2449,https://assets.newme.asia/wp-content/uploads/2026/05/051023160e2d23d0/NM-PRC-193-DRS-25-JUN-19585-BEIGE(1).webp,https://newme.asia/product/beige-sweetheart-mermaid-maxi-dress,product_images/17.jpg,DRS,"{""casual everyday wear"": 0.0962, ""party outfit"": 0.1859, ""wedding guest outfit"": 0.3141, ""office wear"": 0.0064, ""date night outfit"": 0.2372, ""beach vacation outfit"": 0.1603}","{""subtle and understated outfit"": 0.5, ""bold and loud statement outfit"": 0.5}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.7857}","{""very formal outfit"": 0.2328, ""semi formal outfit"": 0.4914, ""casual informal outfit"": 0.2759}"
19,Brown High-Rise Bootcut Trousers,₹769,https://assets.newme.asia/wp-content/uploads/2026/01/02152853c098b756/NM-PRC-345-TRS-26-JAN-29630-BROWN(1).webp,https://newme.asia/product/brown-high-rise-bootcut-trousers,product_images/18.jpg,TRS,"{""casual everyday wear"": 0.2455, ""party outfit"": 0.1, ""wedding guest outfit"": 0.0091, ""office wear"": 0.4818, ""date night outfit"": 0.1545, ""beach vacation outfit"": 0.0091}","{""subtle and understated outfit"": 0.5, ""bold and loud statement outfit"": 0.5}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.3058, ""semi formal outfit"": 0.4298, ""casual informal outfit"": 0.2645}"
20,White Solid Halter Neck Top,₹499,https://assets.newme.asia/wp-content/uploads/2026/01/14124842c88ef024/NM-IN-56-BLS-25-AUG-23572-WHITE(1).webp,https://newme.asia/product/white-solid-halter-neck-top-29,product_images/19.jpg,BLS,"{""casual everyday wear"": 0.2063, ""party outfit"": 0.3312, ""wedding guest outfit"": 0.0688, ""office wear"": 0.1188, ""date night outfit"": 0.2687, ""beach vacation outfit"": 0.0063}","{""subtle and understated outfit"": 0.8846, ""bold and loud statement outfit"": 0.1154}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.7857}","{""very formal outfit"": 0.1579, ""semi formal outfit"": 0.4615, ""casual informal outfit"": 0.3806}"
21,Maroon Ribbed Mock Neck Mini Dress,₹999,https://assets.newme.asia/wp-content/uploads/2025/05/281153347feec5a0/NM-PRC-3-DRS-24-DEC-13637-MAROON(1).webp,https://newme.asia/product/maroon-ribbed-mock-neck-mini-dress,product_images/20.jpg,DRS,"{""casual everyday wear"": 0.1442, ""party outfit"": 0.2788, ""wedding guest outfit"": 0.2404, ""office wear"": 0.0096, ""date night outfit"": 0.2404, ""beach vacation outfit"": 0.0865}","{""subtle and understated outfit"": 0.5, ""bold and loud statement outfit"": 0.5}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.2328, ""semi formal outfit"": 0.4914, ""casual informal outfit"": 0.2759}"
22,Off White Solid Halter Neck Mini Dress,₹1189,https://assets.newme.asia/wp-content/uploads/2026/01/221106333ae599da/NM-IN-56-DRS-25-DEC-27775-OFFWHITE(1).webp,https://newme.asia/product/off-white-solid-halter-neck-mini-dress-2,product_images/21.jpg,DRS,"{""casual everyday wear"": 0.1, ""party outfit"": 0.3667, ""wedding guest outfit"": 0.1667, ""office wear"": 0.0067, ""date night outfit"": 0.3, ""beach vacation outfit"": 0.06}","{""subtle and understated outfit"": 0.8846, ""bold and loud statement outfit"": 0.1154}","{""soft muted pastel colors"": 0.0417, ""bright bold colors"": 0.0417, ""dark moody colors"": 0.0417, ""neutral minimal colors"": 0.875}","{""very formal outfit"": 0.2143, ""semi formal outfit"": 0.5317, ""casual informal outfit"": 0.254}"
23,Zipper Up Denim Skirt With Flap Pockets,₹499,https://assets.newme.asia/wp-content/uploads/2025/07/22155643ac71ab1a/NM-IN-56-SKT-24-JAN-283-BLACK_(1).webp,https://newme.asia/product/zipper-up-denim-skirt-with-flap-pockets,product_images/22.jpg,SKT,"{""casual everyday wear"": 0.5, ""party outfit"": 0.2015, ""wedding guest outfit"": 0.0075, ""office wear"": 0.1418, ""date night outfit"": 0.1418, ""beach vacation outfit"": 0.0075}","{""subtle and understated outfit"": 0.5, ""bold and loud statement outfit"": 0.5}","{""soft muted pastel colors"": 0.25, ""bright bold colors"": 0.25, ""dark moody colors"": 0.25, ""neutral minimal colors"": 0.25}","{""very formal outfit"": 0.1336, ""semi formal outfit"": 0.3562, ""casual informal outfit"": 0.5103}"
24,Beige Ruched One-Shoulder Mini Dress,₹1039,https://assets.newme.asia/wp-content/uploads/2026/05/2209393638926705/NM-PRC-374-DRS-25-NOV-26106-BEIGE(1).webp,https://newme.asia/product/beige-ruched-one-shoulder-mini-dress,product_images/23.jpg,DRS,"{""casual everyday wear"": 0.1442, ""party outfit"": 0.2788, ""wedding guest outfit"": 0.2404, ""office wear"": 0.0096, ""date night outfit"": 0.2404, ""beach vacation outfit"": 0.0865}","{""subtle and understated outfit"": 0.1154, ""bold and loud statement outfit"": 0.8846}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.7857}","{""very formal outfit"": 0.2328, ""semi formal outfit"": 0.4914, ""casual informal outfit"": 0.2759}"
25,Brown Abstract Cowl Neck Midi Dress,₹1099,https://assets.newme.asia/wp-content/uploads/2026/04/041154163c1b35a7/NM-PRC-425-DRS-26-APR-32606-BROWN(1).webp,https://newme.asia/product/brown-abstract-cowl-neck-midi-dress,product_images/24.jpg,DRS,"{""casual everyday wear"": 0.1071, ""party outfit"": 0.2071, ""wedding guest outfit"": 0.1786, ""office wear"": 0.1214, ""date night outfit"": 0.3214, ""beach vacation outfit"": 0.0643}","{""subtle and understated outfit"": 0.1154, ""bold and loud statement outfit"": 0.8846}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.2328, ""semi formal outfit"": 0.4914, ""casual informal outfit"": 0.2759}"
26,Black High-Rise Striped Bootcut Pants,₹899,https://assets.newme.asia/wp-content/uploads/2026/03/25141239914de0e5/NM-PRC-428-TRS-26-MAR-32005-BLACK(1).webp,https://newme.asia/product/black-high-rise-striped-bootcut-pants-4,product_images/25.jpg,TRS,"{""casual everyday wear"": 0.2455, ""party outfit"": 0.1, ""wedding guest outfit"": 0.0091, ""office wear"": 0.4818, ""date night outfit"": 0.1545, ""beach vacation outfit"": 0.0091}","{""subtle and understated outfit"": 0.1154, ""bold and loud statement outfit"": 0.8846}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.3058, ""semi formal outfit"": 0.4298, ""casual informal outfit"": 0.2645}"
27,Rust Sweetheart Ruffle Mini Dress,₹1439,https://assets.newme.asia/wp-content/uploads/2026/04/28090302ab5cacbf/NM-PRC-425-DRS-26-FEB-31161-RUST(1).webp,https://newme.asia/product/rust-sweetheart-ruffle-mini-dress,product_images/26.jpg,DRS,"{""casual everyday wear"": 0.1442, ""party outfit"": 0.2788, ""wedding guest outfit"": 0.2404, ""office wear"": 0.0096, ""date night outfit"": 0.2404, ""beach vacation outfit"": 0.0865}","{""subtle and understated outfit"": 0.1154, ""bold and loud statement outfit"": 0.8846}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.7857, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.2328, ""semi formal outfit"": 0.4914, ""casual informal outfit"": 0.2759}"
28,Spiderman Inspired Oversized Zipper Hoodie,₹1549,https://assets.newme.asia/wp-content/uploads/2025/11/13121802eeb23ed5/NM-PRC-35-SWT-23-OCT-356-BLACK(1).webp,https://newme.asia/product/spiderman-inspired-casual-zipper-hoodie-2,product_images/27.jpg,SWT,"{""casual everyday wear"": 0.9709, ""party outfit"": 0.0058, ""wedding guest outfit"": 0.0058, ""office wear"": 0.0058, ""date night outfit"": 0.0058, ""beach vacation outfit"": 0.0058}","{""subtle and understated outfit"": 0.5, ""bold and loud statement outfit"": 0.5}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.7857, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.0144, ""semi formal outfit"": 0.0144, ""casual informal outfit"": 0.9711}"
29,Wine Sequin Mini Corset Dress,₹1599,https://assets.newme.asia/wp-content/uploads/2026/03/031308395ef16c3f/NM-PRC-119-DRS-26-JAN-30572-WINE(1).webp,https://newme.asia/product/wine-sequin-mini-corset-dress,product_images/28.jpg,DRS,"{""casual everyday wear"": 0.0568, ""party outfit"": 0.5265, ""wedding guest outfit"": 0.0947, ""office wear"": 0.0038, ""date night outfit"": 0.2841, ""beach vacation outfit"": 0.0341}","{""subtle and understated outfit"": 0.0652, ""bold and loud statement outfit"": 0.9348}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.1915, ""semi formal outfit"": 0.5816, ""casual informal outfit"": 0.227}"
30,Yellow Halter Backless Maxi Dress,₹1399,https://assets.newme.asia/wp-content/uploads/2026/01/05132554cc87520c/NM-PRC-25-DRS-25-DEC-29419-YELLOW(1).webp,https://newme.asia/product/yellow-halter-backless-maxi-dress,product_images/29.jpg,DRS,"{""casual everyday wear"": 0.0551, ""party outfit"": 0.3493, ""wedding guest outfit"": 0.1801, ""office wear"": 0.0037, ""date night outfit"": 0.3199, ""beach vacation outfit"": 0.0919}","{""subtle and understated outfit"": 0.1154, ""bold and loud statement outfit"": 0.8846}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.7857, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.2328, ""semi formal outfit"": 0.4914, ""casual informal outfit"": 0.2759}"
31,Light Pink Lace Sheer Cutout Neck Top,₹389,https://assets.newme.asia/wp-content/uploads/2025/12/08120041cdbe0fe1/NM-IN-56-BLS-25-NOV-21951-PINK(1).webp,https://newme.asia/product/light-pink-lace-sheer-cutout-neck-top,product_images/30.jpg,BLS,"{""casual everyday wear"": 0.15, ""party outfit"": 0.4227, ""wedding guest outfit"": 0.05, ""office wear"": 0.0864, ""date night outfit"": 0.2864, ""beach vacation outfit"": 0.0045}","{""subtle and understated outfit"": 0.0455, ""bold and loud statement outfit"": 0.9545}","{""soft muted pastel colors"": 0.6176, ""bright bold colors"": 0.3235, ""dark moody colors"": 0.0294, ""neutral minimal colors"": 0.0294}","{""very formal outfit"": 0.1718, ""semi formal outfit"": 0.4141, ""casual informal outfit"": 0.4141}"
32,Black Contrast Printed Half Zipper Top,₹769,https://assets.newme.asia/wp-content/uploads/2024/03/11184021a631b70b/NM-PRC-11-BLS-24-MAR-3649-BLACK_(1).webp,https://newme.asia/product/black-contrast-printed-halfzipper-top,product_images/31.jpg,BLS,"{""casual everyday wear"": 0.2895, ""party outfit"": 0.2368, ""wedding guest outfit"": 0.0965, ""office wear"": 0.1667, ""date night outfit"": 0.2018, ""beach vacation outfit"": 0.0088}","{""subtle and understated outfit"": 0.0652, ""bold and loud statement outfit"": 0.9348}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.1718, ""semi formal outfit"": 0.4141, ""casual informal outfit"": 0.4141}"
33,Maroon Solid High Neck Tshirt,₹399,https://assets.newme.asia/wp-content/uploads/2025/06/01130919122e751d/NM-IN-50-TSH-23-JUN-132-MAROON_(1).webp,https://newme.asia/product/maroon-solid-high-neck-tshirt,product_images/32.jpg,TSH,"{""casual everyday wear"": 0.8111, ""party outfit"": 0.0778, ""wedding guest outfit"": 0.0111, ""office wear"": 0.0111, ""date night outfit"": 0.0778, ""beach vacation outfit"": 0.0111}","{""subtle and understated outfit"": 0.8846, ""bold and loud statement outfit"": 0.1154}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.0364, ""semi formal outfit"": 0.1781, ""casual informal outfit"": 0.7854}"
34,Teal Lace Sheer Cutout Neck Top,₹499,https://assets.newme.asia/wp-content/uploads/2025/12/08120044b65604ce/NM-IN-56-BLS-25-NOV-21950-TEAL(1).webp,https://newme.asia/product/teal-lace-sheer-cutout-neck-top,product_images/33.jpg,BLS,"{""casual everyday wear"": 0.15, ""party outfit"": 0.4227, ""wedding guest outfit"": 0.05, ""office wear"": 0.0864, ""date night outfit"": 0.2864, ""beach vacation outfit"": 0.0045}","{""subtle and understated outfit"": 0.0455, ""bold and loud statement outfit"": 0.9545}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.7857, ""dark moody colors"": 0.0714, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.1718, ""semi formal outfit"": 0.4141, ""casual informal outfit"": 0.4141}"
35,Black Solid Lapel Collar Shirt,₹969,https://assets.newme.asia/wp-content/uploads/2026/01/10133944aac7b8fb/NM-PRC-415-BLS-26-JAN-30284-BLACK(1).webp,https://newme.asia/product/black-solid-lapel-collar-shirt,product_images/34.jpg,BLS,"{""casual everyday wear"": 0.2292, ""party outfit"": 0.1875, ""wedding guest outfit"": 0.0764, ""office wear"": 0.3403, ""date night outfit"": 0.1597, ""beach vacation outfit"": 0.0069}","{""subtle and understated outfit"": 0.8846, ""bold and loud statement outfit"": 0.1154}","{""soft muted pastel colors"": 0.0714, ""bright bold colors"": 0.0714, ""dark moody colors"": 0.7857, ""neutral minimal colors"": 0.0714}","{""very formal outfit"": 0.3225, ""semi formal outfit"": 0.3713, ""casual informal outfit"": 0.3062}"
