prompt,occasion,formality,constraint,color_tone,occasion_soft,formality_soft,constraint_soft,color_tone_soft,split,source
"editorial going out look, something a fashion girl would wear not just anyone",party,semi-formal,bold,dark,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
work from home outfits that still make me feel like I'm not giving up on myself,office,casual,understated,soft,"{""office"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
"something to wear to an outdoor concert, not muddy, not boring",casual,casual,bold,bright,"{""casual"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
what to wear to a rooftop wedding with a dress code of garden chic,wedding,semi-formal,no_constraint,bright,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",heldout,original
"third date energy, we're going to a jazz bar, sophisticated but fun",date,semi-formal,no_constraint,dark,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
"birthday going out outfit, it's my birthday and I want to look iconic",party,semi-formal,bold,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
something to wear to a gallery opening that doesn't scream art hoe but appreciates it,party,semi-formal,understated,dark,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
"workwear that fits my aesthetic, I dress like I listen to indie music not corporate",office,semi-formal,no_constraint,dark,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
"beach to bar outfit for a summer holiday, minimal effort maximum looks",vacation,casual,no_constraint,bright,"{""vacation"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,relabeled
"date afternoon at a farmer's market, relaxed and feminine, no trying too hard",date,casual,understated,soft,"{""date"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
party look that works in both freezing cold outside and sweaty hot club inside,party,casual,no_constraint,dark,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
"wedding guest dress code says smart casual, what does that even mean help",wedding,semi-formal,understated,neutral,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
"street style fall look, layered and intentional, not messy layering",casual,casual,bold,neutral,"{""casual"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
office look that doesn't make me feel like I'm wearing a costume,office,formal,no_constraint,neutral,"{""office"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
something to wear to a Halloween party that isn't a lazy costume,party,casual,bold,dark,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
"dinner date outfit, he's taking me somewhere nice but I don't know where",date,semi-formal,no_constraint,neutral,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
winter wedding guest look that's warm but still dressy enough,wedding,formal,understated,dark,"{""wedding"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
what do I wear to a Beyoncé concert that's a full fit not just a tee,party,casual,bold,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"hyper-feminine date night look, very Sofia Richie but younger and more fun",date,semi-formal,understated,soft,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
something to wear to a Korean BBQ date that won't smell like smoke but also cute,date,casual,no_constraint,bright,"{""date"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
Christmas party work outfit that's festive but professional not tacky,office,semi-formal,no_constraint,bright,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
"going to a brunch hen party, pastels and fun but still grown up",party,casual,no_constraint,soft,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
cute travel outfit for a long haul flight that still looks put together on arrival,casual,casual,understated,neutral,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
something edgy to wear to a punk-inspired exhibition,casual,casual,bold,dark,"{""casual"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
"spring date walk in the park, light and breezy, no mini skirt it's cold",date,casual,understated,soft,"{""date"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
"outdoor summer wedding dress code tropical smart, what does that mean",wedding,semi-formal,bold,bright,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
what to wear to a work conference when you want to be remembered,office,formal,bold,neutral,"{""office"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",heldout,original
"night out in London, effortlessly cool, not trendy in an obvious way",party,semi-formal,understated,dark,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
cute at-home loungewear that looks intentional not lazy,casual,casual,understated,soft,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
"something to wear to watch the rugby with his friends, casual but still pretty",casual,casual,no_constraint,neutral,"{""casual"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",heldout,original
job interview outfit that says I'm creative but I can also be professional,office,formal,bold,neutral,"{""office"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
"going to see a Taylor Swift tribute band, not cringe but still fun",party,casual,no_constraint,soft,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",heldout,original
"date to a museum, sophisticated casual, a bit preppy but not stuffy",date,semi-formal,understated,neutral,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
something that reads office appropriate but also going out straight after works,office,semi-formal,no_constraint,dark,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
"Italian summer vacation outfits, classy and European not tourist-y",vacation,casual,understated,bright,"{""vacation"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,relabeled
"autumn wedding guest, jewel tones and drama but not over the top",wedding,formal,bold,dark,"{""wedding"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",heldout,original
"going to a house party, not trying too hard but definitely didn't just roll out of bed",party,casual,no_constraint,neutral,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
biker-meets-feminine aesthetic everyday outfit,casual,casual,bold,dark,"{""casual"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
"date at an escape room, cute but can crouch, run, and problem solve",date,casual,no_constraint,neutral,"{""date"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
"summer office looks, no linen because I always look wrinkled",office,formal,understated,soft,"{""office"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
"something to wear to my cousin's Italian wedding, dress code is elegant casual",wedding,semi-formal,understated,bright,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
ultra feminine spring looks that aren't just pink and floral,casual,casual,no_constraint,soft,"{""casual"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
"what to wear for a Pilates class then brunch, seamless transition outfit",casual,casual,understated,soft,"{""casual"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
something sexy for a speed dating event but not trying too hard,date,semi-formal,bold,dark,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
smart look for a client lunch that also goes with a coffee in the morning,office,semi-formal,understated,neutral,"{""office"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
"Ibiza holiday looks, colourful and fun, not basic influencer aesthetic",party,casual,bold,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"minimalist work capsule wardrobe, five pieces, loads of outfits",office,formal,understated,neutral,"{""office"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
something to wear to a baby shower that isn't too formal but also not jeans,party,semi-formal,understated,soft,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
"date night pub quiz look, casual and fun but still obviously made an effort",date,casual,no_constraint,neutral,"{""date"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
"something to wear to a black and white themed party, not just a tux",party,semi-formal,bold,dark,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
autumn casual looks that actually use autumn colours not just beige,casual,casual,no_constraint,dark,"{""casual"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
what to wear to a destination beach wedding as a guest,wedding,semi-formal,no_constraint,bright,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
"power suit moment but make it wearable for my body type, I hate boxy fits",office,formal,bold,dark,"{""office"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
winter date outfit that's still cute even with a massive coat over it,date,semi-formal,understated,dark,"{""date"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
"something to wear to a pop up market on a weekend, effortless and artistic",casual,casual,no_constraint,bright,"{""casual"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
what to wear to a concert that starts at 7pm so part office part gig,party,semi-formal,no_constraint,neutral,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
"girls trip to Amsterdam looks, walkable cute, club ready by night",casual,casual,bold,bright,"{""casual"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",heldout,original
"soft feminine date look, meeting his friends for the first time",date,casual,understated,soft,"{""date"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
"sustainable fashion going out look, thrifted energy but actually stylish",party,casual,no_constraint,neutral,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
"something to wear to a rooftop party in summer, breezy but still a look",party,casual,bold,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
black tie party look that's actually wearable and not just a costume,party,formal,understated,soft,"{""party"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",heldout,original
"elevated going out dress for a fancy birthday dinner party, old money vibes",party,formal,understated,bright,"{""party"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
red carpet energy for a formal party but make it Gen Z not Hollywood,party,formal,bold,soft,"{""party"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
statement gown for a black tie party that's daring but still tasteful,party,formal,bold,bright,"{""party"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"dramatic formal party look, full glam, no playing it safe tonight",party,formal,bold,dark,"{""party"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
bold suit moment for a formal party where everyone else will be in dresses,party,formal,bold,neutral,"{""party"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
formal party look where I want to stand out but not look try-hard,party,formal,no_constraint,soft,"{""party"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
something for a fancy work awards night that's festive and formal,party,formal,no_constraint,bright,"{""party"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
formal evening party look that feels like me not like a dress-up doll,party,formal,no_constraint,dark,"{""party"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
"cocktail party look, I want to look expensive without spending a lot",party,formal,no_constraint,neutral,"{""party"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",heldout,original
"going to a semi-formal rooftop party, upscale but not black tie",party,semi-formal,understated,soft,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
"birthday dinner at a nice restaurant, semi-formal but still fun energy",party,semi-formal,understated,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",heldout,original
semi-formal house party where the host always overdresses everyone else,party,semi-formal,understated,dark,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
elevated but not stiff look for a cocktail hour before a wedding after-party,party,semi-formal,understated,neutral,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
"semi-formal masquerade party look, dramatic but wearable",party,semi-formal,bold,soft,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
"going out dress for a semi-formal birthday party, fun and attention-grabbing",party,semi-formal,bold,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"semi-formal Halloween party, scary but make it chic",party,semi-formal,bold,dark,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
bold co-ord set for a fancy friend group dinner that counts as a party,party,semi-formal,bold,neutral,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
something for an art gallery party that's semi-formal and actually interesting,party,semi-formal,no_constraint,soft,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
"going to a charity auction party, not too serious but smart enough",party,semi-formal,no_constraint,bright,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
"semi-formal leaving drinks look, memorable but not over the top",party,semi-formal,no_constraint,dark,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
something for a friend's engagement party that's celebratory but understated,party,semi-formal,no_constraint,neutral,"{""party"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
rave-ready casual look that's still a whole outfit not just underwear,party,casual,understated,soft,"{""party"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
"low-key birthday house party look, cute but like I didn't overthink it",party,casual,understated,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
"casual going out look for a warehouse party, comfy shoes mandatory",party,casual,understated,dark,"{""party"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
"something casual for a daytime garden party, not a dress not just jeans",party,casual,understated,neutral,"{""party"": 1.0}","{""casual"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,original
festival outfit that's bold and colourful but actually practical to wear all day,party,casual,bold,soft,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
something to wear to a themed party that's committed but not embarrassing,party,casual,bold,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
casual but attention-grabbing look for a friend's birthday pub crawl,party,casual,bold,dark,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
"going out look for a dive bar birthday, casual but clearly made an effort",party,casual,bold,neutral,"{""party"": 1.0}","{""casual"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
hen party casual look that's fun without a sash or anything cringey,party,casual,no_constraint,soft,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
what to wear to an outdoor day party when it might rain but you still want to look good,party,casual,no_constraint,bright,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",train,original
"casual house party look, arrived looking cute not like I came from the gym",party,casual,no_constraint,dark,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
something for a low-key birthday picnic party that's still Instagram-worthy,party,casual,no_constraint,neutral,"{""party"": 1.0}","{""casual"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
formal wedding guest look that's polished but still has personality,wedding,formal,understated,soft,"{""wedding"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
"formal afternoon wedding, something in a warm tone that photographs beautifully",wedding,formal,understated,bright,"{""wedding"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
"black tie optional wedding, I want to dress up but not be the only one in a gown",wedding,formal,understated,dark,"{""wedding"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
"winter formal wedding, need something warm but still wedding-level dressy",wedding,formal,understated,neutral,"{""wedding"": 1.0}","{""formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",heldout,original
"bold formal wedding guest look, I want to be remembered but not for wrong reasons",wedding,formal,bold,soft,"{""wedding"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
"wearing a maximalist formal gown to a wedding, lots of texture and detail",wedding,formal,bold,bright,"{""wedding"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"dramatic dark formal look for a winter wedding, jewel tones and structure",wedding,formal,bold,dark,"{""wedding"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
statement trouser suit for a formal wedding as a guest who hates dresses,wedding,formal,bold,neutral,"{""wedding"": 1.0}","{""formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
formal evening wedding look that feels effortless not stiff,wedding,formal,no_constraint,soft,"{""wedding"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",train,original
what to wear to a formal Indian wedding as a non-Indian guest,wedding,formal,no_constraint,bright,"{""wedding"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""bright"": 1.0}",heldout,original
"formal wedding in a church, need something that covers shoulders but still looks good",wedding,formal,no_constraint,dark,"{""wedding"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""dark"": 1.0}",train,original
"formal winter wedding guest look, monochrome but not boring",wedding,formal,no_constraint,neutral,"{""wedding"": 1.0}","{""formal"": 1.0}","{""no_constraint"": 1.0}","{""neutral"": 1.0}",train,original
"semi-formal wedding on a farm, chic but heels would sink into the grass",wedding,semi-formal,understated,soft,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""soft"": 1.0}",train,original
"semi-formal destination wedding abroad, lightweight and pretty",wedding,semi-formal,understated,bright,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""bright"": 1.0}",train,original
"semi-formal autumn wedding, something in deep tones that isn't too dark",wedding,semi-formal,understated,dark,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""dark"": 1.0}",train,original
"semi-formal city wedding, sleek and modern not fussy or ruffly",wedding,semi-formal,understated,neutral,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""understated"": 1.0}","{""neutral"": 1.0}",train,original
semi-formal wedding guest look that's a bit fashion-forward but still appropriate,wedding,semi-formal,bold,soft,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""soft"": 1.0}",train,original
"colourful semi-formal wedding look, I want to be bold but not upstage the bride",wedding,semi-formal,bold,bright,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""bright"": 1.0}",train,original
"semi-formal gothic wedding aesthetic as a guest, dark but celebratory",wedding,semi-formal,bold,dark,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""dark"": 1.0}",train,original
bold print dress for a semi-formal outdoor summer wedding,wedding,semi-formal,bold,neutral,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""bold"": 1.0}","{""neutral"": 1.0}",train,original
"semi-formal boho wedding look, floaty and free but still put together",wedding,semi-formal,no_constraint,soft,"{""wedding"": 1.0}","{""semi-formal"": 1.0}","{""no_constraint"": 1.0}","{""soft"": 1.0}",heldout,original
